title,author,gender
The Hunger Games,Suzanne Collins,w
Gone with the Wind,Margaret Mitchell,w
The Hitchhiker's Guide to the Galaxy,Douglas Adams,m
Wuthering Heights,Emily Brontë,w
The Da Vinci Code,Dan Brown,m
Memoirs of a Geisha,Arthur Golden,m
The Picture of Dorian Gray,Oscar Wilde,m
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,m
Jane Eyre,Charlotte Brontë,w
Les Misérables,Victor Hugo,m
Lord of the Flies,William Golding,m
Romeo and Juliet,William Shakespeare,m
Crime and Punishment,Fyodor Dostoyevsky,m
Ender's Game,Orson Scott Card,m
The Help,Kathryn Stockett,w
Of Mice and Men,John Steinbeck,m
The Time Traveler's Wife,Audrey Niffenegger,w
Dracula,Bram Stoker,m
The Princess Bride,William Goldman,m
The Lightning Thief,Rick Riordan,m
The Secret Garden,Frances Hodgson Burnett,w
A Wrinkle in Time,Madeleine L'Engle,w
The Adventures of Huckleberry Finn,Mark Twain,m
The Lovely Bones,Alice Sebold,w
Where the Wild Things Are,Maurice Sendak,m
The Odyssey,Homer,m
A Tale of Two Cities,Charles Dickens,m
Water for Elephants,Sara Gruen,w
Lolita,Vladimir Nabokov,m
Slaughterhouse-Five,Kurt Vonnegut Jr.,m
The Giver,Lois Lowry,w
Catch-22,Joseph Heller,m
The Pillars of the Earth,Ken Follett,m
The Stand,Stephen King,m
The Adventures of Sherlock Holmes,Arthur Conan Doyle,m
Watership Down,Richard Adams,m
Great Expectations,Charles Dickens,m
The Bell Jar,Sylvia Plath,w
Anna Karenina,"Leo Tolstoy, Lev Tolstoi",m
My Sister's Keeper,Jodi Picoult,w
Matilda,Roald Dahl,m
The Girl with the Dragon Tattoo,Stieg Larsson,m
Rebecca,Daphne du Maurier,w
1984,George Orwell,m
The Color Purple,Alice Walker,w
A Tree Grows in Brooklyn,Betty Smith,w
The Road,Cormac McCarthy,m
The Brothers Karamazov,"Fyodor Dostoyevsky, Fyodor Dostoyevsky",m
Angela's Ashes,Frank McCourt,m
Vampire Academy,Richelle Mead,w
Siddhartha,Hermann Hesse,m
The Poisonwood Bible,Barbara Kingsolver,w
The Golden Compass,Philip Pullman,m
The Notebook,Nicholas Sparks,m
The Complete Stories and Poems,Edgar Allan Poe,m
Interview with the Vampire,Anne Rice,w
A Prayer for Owen Meany,John Irving,m
"Moby-Dick or, the Whale",Herman Melville,m
The Red Tent,Anita Diamant,w
The Secret Life of Bees,Sue Monk Kidd,w
Clockwork Angel,Cassandra Clare,w
And Then There Were None,Agatha Christie,w
Middlesex,Jeffrey Eugenides,m
The Name of the Wind,Patrick Rothfuss,m
Eragon,Christopher Paolini,m
Flowers for Algernon,Daniel Keyes,m
On the Road,Jack Kerouac,m
The Metamorphosis,Franz Kafka,m
The Curious Incident of the Dog in the Night-Time,Mark Haddon,m
The Very Hungry Caterpillar,Eric Carle,m
Tuesdays with Morrie,Mitch Albom,m
