language,num_books
English,42661
Arabic,1038
Spanish,687
French,579
German,528
Indonesian,371
Portuguese,363
Italian,255
Dutch,215
Turkish,211
Persian,164
Polish,138
"Greek, Modern (1453-)",112
Russian,98
Swedish,94
Japanese,94
Romanian,93
Bengali,84
Malay,74
Bulgarian,70
Danish,63
Urdu,60
Finnish,56
Czech,55
Filipino; Pilipino,54
Lithuanian,46
Serbian,36
Norwegian,36
Tamil,31
Estonian,26
Croatian,26
Georgian,20
Vietnamese,18
Marathi,17
Hindi,16
Hungarian,14
Multiple languages,13
"Bokmål, Norwegian; Norwegian Bokmål",12
Catalan; Valencian,11
Malayalam,11
Chinese,11
Nepali,9
Tagalog,7
Latvian,7
Korean,7
Slovak,7
Farsi,6
Armenian,5
Albanian,5
Gujarati,5
Bosnian,4
Kannada,4
Icelandic,3
Ukrainian,3
Thai,3
Slovenian,3
Amharic,3
Macedonian,2
Maltese,2
Telugu,2
Panjabi; Punjabi,2
Afrikaans,2
"Greek, Ancient (to 1453)",2
Aleut,1
Aromanian; Arumanian; Macedo-Romanian,1
Basque,1
Azerbaijani,1
Assamese,1
Australian languages,1
"English, Middle (1100-1500)",1
Faroese,1
"French, Middle (ca.1400-1600)",1
Galician,1
Kurdish,1
Iranian (Other),1
Duala,1
"Dutch, Middle (ca.1050-1350)",1
"Norwegian Nynorsk; Nynorsk, Norwegian",1
Mongolian,1
Mayan languages,1
Undetermined,1
