publisher,num_male,num_female,top_genres
Smashwords Edition,43,41,"Romance, Contemporary, Fantasy"
Knopf Books for Young Readers,58,26,"Young Adult, Realistic Fiction, Contemporary"
Margaret K. McElderry Books,10,73,"Young Adult, Fantasy, Romance"
Penguin Group,58,25,"Novels, Classics, Historical Fiction"
Ace Books,56,27,"Fantasy, Science Fiction Fantasy, Science Fiction"
Arrow,33,49,"Romance, Historical Fiction, Historical"
Broadway Books,49,32,"Nonfiction, Biography, Memoir"
Orion,55,25,"Mystery, Thriller, Crime"
Marvel,79,1,"Graphic Novels, Comics, Graphic Novels Comics"
Jove,28,52,"Romance, Paranormal, Fantasy"
Greenwillow Books,32,48,"Young Adult, Fantasy, Childrens"
Viking,53,26,"Audiobook, Nonfiction, Historical"
Balzer + Bray,20,59,"Young Adult, Romance, Audiobook"
Del Rey Books,60,18,"Fantasy, Science Fiction Fantasy, Science Fiction"
Candlewick Press,35,42,"Young Adult, Childrens, Realistic Fiction"
Disney-Hyperion,39,36,"Young Adult, Fantasy, Adventure"
Houghton Mifflin Harcourt,49,26,"Novels, Nonfiction, Contemporary"
Harper Voyager,49,26,"Fantasy, Science Fiction Fantasy, Magic"
New Directions,69,5,"Literature, Classics, 20th Century"
Plume,56,18,"Novels, Literature, Historical Fiction"
HarperTorch,44,30,"Mystery, Mystery Thriller, Thriller"
Feiwel & Friends,21,52,"Young Adult, Fantasy, Romance"
Andrews McMeel Publishing,58,14,"Comics, Humor, Graphic Novels"
Gramedia Pustaka Utama,24,47,"Indonesian Literature, Novels, Romance"
Ecco,59,12,"Literature, Contemporary, Novels"
Gold Eagle,65,5,"Adventure, Fantasy, Urban Fantasy"
Basic Books,58,11,"Nonfiction, Science, History"
Free Press,54,13,"Nonfiction, History, Biography"
Back Bay Books,50,17,"Literature, Nonfiction, Classics"
Headline,34,33,"Mystery, Thriller, Mystery Thriller"
Atheneum Books for Young Readers,28,38,"Young Adult, Childrens, Middle Grade"
NAL,32,33,"Romance, Adult, Mystery"
Minotaur Books,28,37,"Mystery, Mystery Thriller, Crime"
Laurel Leaf,32,32,"Young Adult, Teen, Childrens"
Little Brown and Company,47,17,"Mystery, Adult, Nonfiction"
Harlequin Teen,4,59,"Young Adult, Romance, Fantasy"
Pocket Star,27,36,"Romance, Adult, Fantasy"
Touchstone,43,19,"Nonfiction, Historical Fiction, Audiobook"
Washington Square Press,25,36,"Historical Fiction, Novels, Historical"
Hodder & Stoughton,36,25,"Romance, Young Adult, Nonfiction"
Hachette Books,40,20,"Nonfiction, Biography, Memoir"
Grosset & Dunlap,15,45,"Childrens, Young Adult, Classics"
Berkley Sensation,10,50,"Romance, Adult, Paranormal"
Image Comics,58,2,"Graphic Novels, Comics, Graphic Novels Comics"
Speak,32,27,"Young Adult, Teen, Romance"
Picador USA,44,15,"Novels, Literary Fiction, Contemporary"
Yearling,31,28,"Childrens, Young Adult, Middle Grade"
TokyoPop,36,22,"Manga, Graphic Novels, Comics"
Brilliance Audio,36,22,"Audiobook, Romance, Mystery"
iUniverse,44,14,"Fantasy, Romance, Nonfiction"
Hodder Children's Books,25,33,"Young Adult, Adventure, Childrens"
Routledge,47,10,"Nonfiction, Philosophy, Science"
Pocket,42,15,"Romance, Novels, Fantasy"
Forever,12,45,"Romance, Contemporary, Contemporary Romance"
Zebra,15,41,"Romance, Adult, Paranormal Romance"
Random House Trade Paperbacks,47,9,"Nonfiction, Novels, Biography"
Dial Books,24,32,"Young Adult, Teen, Fantasy"
Corgi,41,15,"Fantasy, Humor, Science Fiction Fantasy"
Simon & Schuster Books for Young Readers,25,30,"Young Adult, Fantasy, Romance"
Alfred A. Knopf,42,13,"Novels, Fantasy, Audiobook"
Gallimard,50,5,"France, French Literature, Novels"
Spectra,40,14,"Fantasy, Science Fiction Fantasy, Science Fiction"
Dreamspinner Press,29,25,"M M Romance, Romance, LGBT"
Crown,39,15,"Audiobook, Nonfiction, Adult"
Bloomsbury Publishing PLC,43,11,"Young Adult, Novels, Contemporary"
Authorhouse,38,16,"Romance, Nonfiction, New Adult"
Fawcett,28,24,"Historical Fiction, Historical, Mystery"
W. W. Norton & Company,41,11,"Nonfiction, Classics, Literature"
Vertigo,50,1,"Graphic Novels, Comics, Graphic Novels Comics"
Delta,39,11,"Novels, Mystery, Suspense"
Ellora's Cave,30,20,"Romance, Erotica, Erotic Romance"
Penguin Books Ltd,40,9,"Classics, Novels, Literature"
Anchor Books,36,13,"Novels, Literature, Nonfiction"
HarperTrophy,17,32,"Young Adult, Childrens, Middle Grade"
Faber & Faber,40,9,"Literature, Novels, Contemporary"
Tor Fantasy,30,19,"Fantasy, Science Fiction Fantasy, Magic"
Bloomsbury USA Childrens,16,32,"Young Adult, Fantasy, Romance"
Philomel Books,27,21,"Young Adult, Childrens, Middle Grade"
Da Capo Press,42,5,"Nonfiction, History, Biography"
Harper Perennial Modern Classics,34,13,"Classics, Literature, Novels"
Viking Books for Young Readers,24,22,"Young Adult, Romance, Teen"
Helping Hands Press,22,24,"Christian Fiction, Amish Fiction, Amish"
Poppy,4,41,"Young Adult, Romance, Contemporary"
Thomas Dunne Books,36,9,"Fantasy, Audiobook, Thriller"
Lulu.com,32,13,"Fantasy, Paranormal, Romance"
Shadow Mountain,36,8,"Young Adult, Fantasy, Adventure"
Fleming H. Revell Company,15,29,"Christian, Christian Fiction, Romance"
Cambridge University Press,39,5,"Nonfiction, Philosophy, Classics"
Montlake Romance,8,36,"Romance, Adult, Contemporary"
Chronicle Books,21,22,"Childrens, Humor, Fantasy"
Yen Press,33,10,"Fantasy, Manga, Graphic Novels"
Harlequin,2,41,"Romance, Contemporary Romance, Contemporary"
University of Chicago Press,40,2,"Classics, Literature, Nonfiction"
Mira,5,37,"Romance, Adult, Mystery"
G.P. Putnam's Sons Books for Young Readers,12,30,"Young Adult, Fantasy, Romance"
Pantheon,31,10,"Novels, Literature, Nonfiction"
Dutton,27,13,"Adult, Audiobook, Thriller"
Eos,29,11,"Fantasy, Magic, Adventure"
Thomas & Mercer,25,14,"Mystery, Thriller, Mystery Thriller"
Doubleday Books,30,9,"Audiobook, Mystery, Thriller"
Hyperion,19,20,"Romance, Fantasy, Young Adult"
Kensington,6,32,"Romance, Adult, Fantasy"
Harper Teen,15,23,"Young Adult, Romance, Teen"
Bloomsbury USA,27,11,"Nonfiction, Novels, Humor"
NYRB Classics,35,3,"Classics, 20th Century, Literature"
Dark Horse Books,35,3,"Graphic Novels, Comics, Fantasy"
Sphere,17,21,"Romance, Contemporary, Mystery"
Kessinger Publishing,32,6,"Classics, Literature, Short Stories"
Vintage Books,31,6,"Literature, Novels, Contemporary"
Baen,24,13,"Science Fiction, Fantasy, Science Fiction Fantasy"
Warner Books,24,13,"Mystery, Thriller, Suspense"
Warner Books (NY),23,14,"Contemporary, Adult, Fantasy"
Faber and Faber,34,3,"Literature, Novels, Literary Fiction"
Crossway Books,37,0,"Christian, Religion, Christianity"
Sweet Valley,0,37,"Childrens, Middle Grade"
Samhain Publishing,17,20,"Romance, Erotica, Paranormal"
Algonquin Books,18,19,"Historical Fiction, Historical, Adult"
Wizards of the Coast,34,3,"Fantasy, Dungeons and Dragons, Science Fiction Fantasy"
Bloomsbury,25,12,"Young Adult, Fantasy, Romance"
Bold Strokes Books,14,23,"LGBT, Lesbian, Lesbian Fiction"
Harvest House Publishers,12,25,"Christian, Christian Fiction, Romance"
Princeton University Press,32,5,"Nonfiction, Philosophy, History"
First Second,22,14,"Graphic Novels, Comics, Graphic Novels Comics"
Penguin Press,26,10,"Nonfiction, History, Audiobook"
Harper Collins,22,14,"Adult, Romance, Audiobook"
Henry Holt and Co.,29,7,"Nonfiction, Audiobook, History"
Egmont,23,13,"Childrens, Young Adult, Adventure"
Leisure Books,19,17,"Paranormal, Romance, Fantasy"
Farrar Straus Giroux,24,11,"Literature, Classics, Young Adult"
HarperCollins Children's Books,20,15,"Young Adult, Fantasy, Adventure"
Dutton Books for Young Readers,18,17,"Young Adult, Fantasy, Teen"
McBooks Press,34,0,"Historical Fiction, Historical, Adventure"
Tokyopop,27,7,"Manga, Graphic Novels, Comics"
Yale University Press,29,5,"Nonfiction, History, Classics"
"Little, Brown Book Group",7,27,"Historical Fiction, Historical, Romance"
Houghton Mifflin,22,12,"Fantasy, Young Adult, Classics"
"Farrar, Straus and Giroux (BYR)",12,22,"Young Adult, Realistic Fiction, Middle Grade"
Le Livre de Poche,24,9,"France, Novels, French Literature"
Bantam Press,28,5,"Thriller, Historical Fiction, Historical"
BBC Books,30,3,"Doctor Who, Science Fiction, Fantasy"
Viking Adult,19,14,"Fantasy, Novels, Contemporary"
Hay House,18,15,"Nonfiction, Spirituality, Self Help"
MIRA,11,22,"Romance, Contemporary, Adult"
Amulet Books,31,2,"Young Adult, Middle Grade, Childrens"
Sourcebooks Fire,8,25,"Young Adult, Romance, Contemporary"
Mondadori,22,10,"Italian Literature, Fantasy, Novels"
St. Martins Press-3PL,20,12,"Fantasy, Romance, Novels"
Baen Books,20,12,"Fantasy, Science Fiction, Science Fiction Fantasy"
Lake Union Publishing,11,20,"Audiobook, Contemporary, Romance"
Firebird,21,10,"Fantasy, Young Adult, Science Fiction Fantasy"
Flux,11,20,"Young Adult, Romance, Fantasy"
Wildside Press,30,1,"Classics, Fantasy, Literature"
Multnomah,24,7,"Christian, Christian Fiction, Nonfiction"
Aladdin Paperbacks,15,16,"Childrens, Young Adult, Middle Grade"
Vintage Classics,30,1,"Classics, Literature, Novels"
Turtleback Books,18,13,"Young Adult, Childrens, Fantasy"
Zondervan Publishing Company,22,8,"Christian, Christian Fiction, Religion"
Amazon,22,8,"Fantasy, Romance, Young Adult"
Arthur A. Levine Books,13,17,"Young Adult, Fantasy, Childrens"
Albin Michel,21,9,"France, Roman, French Literature"
Berkley Trade,15,14,"Romance, Adult, Paranormal"
Mira Books,3,26,"Romance, Adult, Contemporary"
Sourcebooks Casablanca,7,22,"Romance, Adult, Contemporary"
Simon & Schuster UK,14,15,"Mystery, Young Adult, Fantasy"
Harmony,20,9,"Nonfiction, Psychology, Self Help"
VIZ Media,26,3,"Manga, Graphic Novels, Fantasy"
"Little, Brown Young Readers",17,12,"Young Adult, Fantasy, Middle Grade"
Signet Classics,28,1,"Classics, Literature, Novels"
Everyman's Library,26,2,"Classics, Literature, Novels"
Skylark,28,0,"Horses, Childrens, Young Adult"
Wiley,20,8,"Nonfiction, Business, Economics"
Independently Published,19,9,"Epic, Contemporary, Drama"
Three Rivers Press,17,11,"Nonfiction, History, Adult"
Point,7,21,"Young Adult, Romance, Teen"
Phoenix,23,5,"Novels, Mystery, Nonfiction"
Henry Holt & Company,17,10,"Young Adult, Literature, Historical"
Sourcebooks Landmark,11,16,"Romance, Adult, Historical Fiction"
Portfolio,26,1,"Business, Nonfiction, Self Help"
Dutton Adult,15,12,"Mystery, Thriller, Audiobook"
Lulu,18,9,"Romance, Young Adult, Fantasy"
Jonathan Cape,23,4,"Novels, Contemporary, Literature"
Tor Teen,9,18,"Young Adult, Fantasy, Romance"
Wattpad,18,9,"Romance, Young Adult, Contemporary"
New American Library,7,19,"Fantasy, Romance, Paranormal"
Dalkey Archive Press,24,2,"Novels, Literature, 20th Century"
Howard Books,13,13,"Christian, Nonfiction, Christian Fiction"
Beacon Press,15,11,"Nonfiction, History, Politics"
Berkley Publishing Group,16,10,"Fantasy, Romance, Paranormal"
Alfaguara,19,7,"Spanish Literature, Novels, Literature"
Chicken House,10,16,"Young Adult, Childrens, Middle Grade"
Putnam Adult,24,2,"Thriller, Mystery, Suspense"
Orb Books,25,1,"Fantasy, Science Fiction Fantasy, Science Fiction"
Dutton Books,20,6,"Contemporary, Audiobook, Mystery"
Catapult,13,12,"Nonfiction, Literary Fiction, Adult"
Not Avail,20,5,"Mystery, Thriller, Adventure"
Allen & Unwin,12,13,"Young Adult, Contemporary, Fantasy"
Fantagraphics,21,4,"Comics, Graphic Novels, Graphic Novels Comics"
Thomas Nelson Publishers,18,7,"Christian, Christian Fiction, Contemporary"
Plume Books,15,10,"Historical Fiction, Historical, Nonfiction"
Bantam Spectra,22,3,"Fantasy, Science Fiction Fantasy, Science Fiction"
Tor,18,7,"Fantasy, Science Fiction Fantasy, Science Fiction"
Starscape,18,7,"Young Adult, Fantasy, Science Fiction"
Arcade Publishing,24,1,"Nonfiction, Literature, History"
Forge Books,22,3,"Historical Fiction, Historical, Adventure"
Ivy Books,7,18,"Historical Fiction, Romance, Historical"
Yapı Kredi Yayınları,24,1,"Turkish Literature, Turkish, Literature"
Scribner Book Company,14,11,"Mystery, Thriller, Audiobook"
It Books,19,6,"Nonfiction, Biography, Memoir"
Verso,19,6,"Nonfiction, Politics, History"
DC,25,0,"Comics, Dc Comics, Comic Book"
Harvard University Press,20,4,"Nonfiction, Philosophy, Science"
Simon Spotlight,2,22,"Middle Grade, Childrens, Realistic Fiction"
IDW Publishing,24,0,"Graphic Novels, Fantasy, Comics"
"Amazon Digital Services, Inc.",11,13,"Romance, Contemporary, Contemporary Romance"
EgmontUSA,6,17,"Young Adult, Romance, Fantasy"
University of California Press,17,6,"Nonfiction, Classics, Literature"
Orion Publishing Group,14,9,"Novels, Mystery, Fantasy"
"Octagon Press, Limited",22,1,"Islam, Spirituality, Religion"
Dark Horse,23,0,"Comics, Graphic Novels, Graphic Novels Comics"
Dell Publishing Company,12,11,"Adult, Audiobook, Romance"
iBooks,22,1,"Fantasy, Science Fiction, Science Fiction Fantasy"
Companhia das Letras,18,5,"Portuguese Literature, Brazil, Romance"
Brava,3,20,"Romance, Paranormal, Paranormal Romance"
Voyager,14,9,"Fantasy, Science Fiction Fantasy, Science Fiction"
Macmillan,15,8,"Fantasy, Audiobook, Young Adult"
"Scholastic, Inc.",13,10,"Childrens, Young Adult, Middle Grade"
Henry Holt and Co. (BYR),10,13,"Young Adult, Fantasy, Contemporary"
Graphix,16,7,"Graphic Novels, Comics, Young Adult"
Hyperion Books for Children,16,7,"Young Adult, Fantasy, Childrens"
Moody Publishers,11,12,"Christian, Christian Fiction, Childrens"
Heyne,17,6,"Fantasy, Science Fiction, Novels"
Mouse Works,17,6,"Childrens, Picture Books, Animals"
Harcourt,10,13,"Fantasy, Young Adult, Childrens"
Planeta,17,6,"Spanish Literature, Romance, Fantasy"
Laurel Leaf Library,11,11,"Young Adult, Teen, Childrens"
Wendy Lamb Books,15,7,"Young Adult, Fantasy, Childrens"
Feltrinelli,21,1,"Novels, Contemporary, Italian Literature"
J'ai Lu,11,11,"Romance, Historical, Historical Fiction"
Tor Science Fiction,21,1,"Science Fiction, Science Fiction Fantasy, Fantasy"
Outskirts Press,13,9,"Contemporary, Nonfiction, Drama"
Philomel,7,15,"Young Adult, Fantasy, Romance"
Square Fish,13,9,"Young Adult, Childrens, Fantasy"
House of Stratus,20,2,"Classics, Novels, Historical Fiction"
Love Spell,3,19,"Romance, Paranormal Romance, Paranormal"
Spectra Books,20,2,"Fantasy, Science Fiction Fantasy, Science Fiction"
Prometheus Books,19,3,"Nonfiction, Philosophy, Science"
Vintage International,22,0,"Literature, Classics, Novels"
Vintage Crime/Black Lizard,19,3,"Mystery, Crime, Mystery Thriller"
Adelphi,18,4,"Classics, Literature, 20th Century"
دار المعارف,22,0,"Philosophy, Religion, Nonfiction"
BiblioLife,18,4,"Classics, Literature, Novels"
Doubleday Canada,18,4,"Canada, Contemporary, Historical Fiction"
Knopf Publishing Group,12,10,"Nonfiction, Audiobook, Contemporary"
Disney Press,17,5,"Fantasy, Childrens, Middle Grade"
Wednesday Books,10,11,"Young Adult, Romance, Fantasy"
Gyldendal,15,6,"Danish, Scandinavian Literature, Classics"
Putnam Juvenile,4,17,"Young Adult, Romance, Fantasy"
Clarion Books,12,9,"Young Adult, Childrens, Middle Grade"
Hard Press,21,0,"Classics, Literature, Novels"
Walker Childrens,7,14,"Young Adult, Romance, Contemporary"
Urban Books,21,0,"Urban, African American, Drama"
Alfred A. Knopf Books for Young Readers,12,9,"Young Adult, Adventure, Audiobook"
Roaring Brook Press,10,11,"Young Adult, Fantasy, Teen"
HQN Books,4,17,"Romance, Paranormal, Adult"
Bethany House,9,12,"Christian Fiction, Christian, Romance"
Macmillan Children's Books,10,11,"Young Adult, Childrens, Fantasy"
Serpent's Tail,16,5,"Literature, Novels, Historical Fiction"
Michael Joseph,15,6,"Audiobook, Adult, Mystery"
Center Street,14,7,"Christian Fiction, Contemporary, Christian"
Hyperion Books,10,11,"Fantasy, Young Adult, Childrens"
Golden Books,11,10,"Childrens, Picture Books, Classics"
Titan Books,17,4,"Fantasy, Horror, Mystery"
Xlibris,14,7,"Drama, Contemporary, Novels"
Random House Trade,14,7,"Nonfiction, Novels, Biography"
Fawcett Books,16,5,"Historical Fiction, Novels, Historical"
Multnomah Books,14,6,"Christian, Christian Fiction, Religion"
Pocket Star Books,13,7,"Thriller, Suspense, Adult"
Mulholland Books,18,2,"Thriller, Mystery, Mystery Thriller"
Orion Children's Books,9,11,"Childrens, Young Adult, Fantasy"
Pan,8,12,"Mystery, Historical Fiction, Contemporary"
Orchard Books,11,9,"Young Adult, Fantasy, Adventure"
David R. Godine Publisher,18,2,"Classics, Historical Fiction, Childrens"
Collins,12,8,"Childrens, Middle Grade, Young Adult"
Independently published,14,6,"New Adult, Contemporary, Adult"
Shambhala,19,1,"Nonfiction, Philosophy, Spirituality"
Northwestern University Press,19,1,"Classics, Novels, Literature"
Univ Of Minnesota Press,16,4,"Nonfiction, Memoir, Philosophy"
America Star Books,15,5,"Horror, Contemporary, Mystery"
Dodo Press,17,3,"Classics, Literature, 19th Century"
Bison Books,15,5,"Classics, Novels, Science Fiction"
"Little, Brown",14,6,"Contemporary, Novels, Thriller"
Dial Press Trade Paperback,16,4,"Novels, Literature, Classics"
Pan MacMillan,13,7,"Audiobook, Nonfiction, Adult"
Pan Books,14,6,"Fantasy, Novels, Historical Fiction"
Soft Skull Press,13,7,"Contemporary, Novels, Literary Fiction"
Viking Books,16,4,"Historical Fiction, Historical, Contemporary"
Penguin Group (USA),9,11,"Romance, Fantasy, Contemporary"
Ediciones B,16,4,"Thriller, Historical, Mystery"
Abacus,19,0,"Contemporary, Mystery, Thriller"
Ember,10,9,"Young Adult, Teen, Romance"
Flatiron Books,6,13,"Audiobook, Adult, Contemporary"
Kensington Publishing Corporation,11,8,"Romance, Contemporary, Adult"
World Castle Publishing,9,10,"Romance, Paranormal, Paranormal Romance"
New World Library,16,3,"Nonfiction, Spirituality, Philosophy"
Faber Faber,15,4,"Literature, Classics, Historical Fiction"
NAL Trade,5,14,"Romance, Adult, Fantasy"
Fabryka Słów,12,7,"Fantasy, Polish Literature, Audiobook"
Counterpoint,15,4,"Novels, Literature, Literary Fiction"
HarperCollins Publishers Ltd,13,6,"Historical Fiction, Historical, British Literature"
Seven Stories Press,16,3,"Nonfiction, Politics, Philosophy"
Europa Editions,8,11,"Novels, Literature, Contemporary"
Gagas Media,17,2,"Indonesian Literature, Romance, Novels"
Spiegel & Grau,14,5,"Nonfiction, Audiobook, Memoir"
Pantheon Books,14,4,"Nonfiction, History, Memoir"
Quercus,10,8,"Romance, Contemporary, Adult"
Livre de Poche,12,6,"France, French Literature, Novels"
Tate Publishing & Enterprises,10,8,"Mystery, Christian Fiction, Fantasy"
McClelland & Stewart,12,6,"Canada, Historical Fiction, Nonfiction"
BookBaby,15,3,"Contemporary, Novels, Drama"
Kodansha,15,3,"Japan, Japanese Literature, Literature"
Harper Business,17,1,"Business, Nonfiction, Leadership"
Hodder,2,16,"Adventure, Mystery, Young Adult"
Dial Press,9,9,"Humor, Novels, Contemporary"
Carina Press,8,10,"Romance, Contemporary, Paranormal"
İletişim Yayınları,18,0,"Turkish Literature, Turkish, Novels"
Headline Review,4,14,"Contemporary, Romance, Chick Lit"
Harper Paperbacks,10,8,"Audiobook, Adult, Mystery"
MTV Books,6,12,"Contemporary, Young Adult, Realistic Fiction"
Prodigy Gold Books,15,3,"Mystery Thriller, Fantasy"
Knopf Canada,8,10,"Canada, Nonfiction, Contemporary"
الهيئة المصرية العامة للكتاب,18,0,"Nonfiction, Literature, History"
Bloomsbury Children's Books,11,7,"Fantasy, Young Adult, Romance"
Luna,8,10,"Fantasy, Paranormal, Magic"
HQN,0,18,"Romance, Contemporary, Contemporary Romance"
Chicago Review Press,6,11,"Historical, Historical Fiction, Romance"
Piatkus Books,8,9,"Romance, Mystery, Thriller"
Skyscape,4,13,"Young Adult, Romance, Fantasy"
Byron Goines,17,0,
Anagrama,14,3,"Novels, Contemporary, Literature"
Einaudi,15,2,"Italian Literature, Novels, Italy"
David C. Cook,7,10,"Christian, Christian Fiction, Romance"
Random House Value Publishing,8,9,"Novels, Contemporary, Historical Fiction"
Candlewick,9,8,"Young Adult, Teen, Romance"
University Of Chicago Press,17,0,"Classics, Nonfiction, History"
"Samhain Publishing, Ltd.",6,11,"Romance, Erotica, Contemporary"
Aspect,11,6,"Fantasy, Science Fiction Fantasy, Science Fiction"
Vision,14,3,"Mystery, Thriller, Suspense"
Atlantic Monthly Press,13,4,"Contemporary, Audiobook, Crime"
The Dial Press,9,8,"Contemporary, Adult, Adult Fiction"
Holt Paperbacks,14,3,"Nonfiction, History, Humor"
Library of America,14,3,"Classics, Literature, American"
Black Swan,11,6,"Contemporary, Novels, Humor"
W.W. Norton & Company,17,0,"Nonfiction, Literature, Classics"
Jove Books,5,12,"Mystery, Romance, Paranormal"
Walker Books,10,7,"Young Adult, Romance, Fantasy"
Create Space,6,11,"Romance, Contemporary, Contemporary Romance"
47North,15,2,"Fantasy, Audiobook, Young Adult"
Barbour Books,2,14,"Christian Fiction, Christian, Romance"
Dark Horse Manga,16,0,"Manga, Comics, Graphic Novels"
Bloomsbury Publishing,9,7,"Fantasy, Romance, Young Adult"
Nan A. Talese,8,8,"Novels, Adult Fiction, Audiobook"
Drawn and Quarterly,12,4,"Graphic Novels, Comics, Graphic Novels Comics"
Kodansha Comics,13,3,"Manga, Comics, Graphic Novels"
Toby Press,16,0,"American, Literature, Historical Fiction"
Watersgreen House,16,0,"LGBT, Romance, M M Romance"
TarcherPerigee,15,1,"Nonfiction, Philosophy, Spirituality"
Crown Business,14,2,"Nonfiction, Business, Leadership"
Llewellyn Publications,9,7,"Nonfiction, Paranormal, Magic"
Ebury Press,13,3,"Nonfiction, Biography, Autobiography"
Ignatius Press,8,8,"Christian, Historical Fiction, Catholic"
Random House (NY),12,4,"Nonfiction, History, Audiobook"
Flanker Press,14,1,"Nonfiction, History, Historical Fiction"
Karl Wiggins,15,0,"Nonfiction, Humor, Comedy"
Baker Books,12,3,"Christian, Nonfiction, Christianity"
Villard,8,7,"Nonfiction, Humor, Memoir"
