publisher,num_male,num_female,top_genres
Vintage,466,90,"Literature, Novels, Literary Fiction"
HarperCollins,285,224,"Young Adult, Fantasy, Childrens"
Penguin Books,305,114,"Classics, Literature, Novels"
Ballantine Books,207,174,"Historical Fiction, Adult, Historical"
Bantam,223,151,"Mystery, Romance, Adult"
Createspace Independent Publishing Platform,205,148,"Romance, Fantasy, Contemporary"
Avon,106,181,"Romance, Adult, Historical Fiction"
Penguin Classics,246,37,"Classics, Literature, Novels"
Berkley,108,173,"Romance, Mystery, Fantasy"
Pocket Books,146,134,"Romance, Adult, Fantasy"
Del Rey,234,45,"Fantasy, Science Fiction Fantasy, Science Fiction"
Tor Books,239,34,"Fantasy, Science Fiction Fantasy, Science Fiction"
Grand Central Publishing,194,76,"Adult, Mystery, Audiobook"
Simon Pulse,103,134,"Young Adult, Romance, Teen"
HarperTeen,73,164,"Young Adult, Romance, Fantasy"
St. Martin's Press,129,102,"Adult, Romance, Audiobook"
Harper Perennial,163,63,"Nonfiction, Novels, Literature"
"Little, Brown Books for Young Readers",138,82,"Young Adult, Fantasy, Childrens"
Penguin,147,51,"Nonfiction, Classics, Literature"
Signet,122,75,"Romance, Fantasy, Paranormal"
Mariner Books,150,39,"Literature, Novels, Classics"
Random House,115,73,"Audiobook, Adult, Novels"
"Little, Brown and Company",116,65,"Audiobook, Adult, Mystery"
Berkley Books,85,94,"Romance, Adult, Fantasy"
Ace,84,90,"Fantasy, Science Fiction Fantasy, Romance"
Harper,105,68,"Audiobook, Adult, Mystery"
W. W. Norton Company,132,38,"Nonfiction, Literature, Audiobook"
St. Martin's Griffin,106,60,"Romance, Young Adult, Fantasy"
Scholastic Press,73,91,"Young Adult, Fantasy, Middle Grade"
Orbit,109,54,"Fantasy, Science Fiction Fantasy, Magic"
Scribner,119,44,"Audiobook, Literature, Novels"
HMH Books for Young Readers,72,90,"Young Adult, Fantasy, Childrens"
Delacorte Press,75,84,"Young Adult, Romance, Fantasy"
Simon & Schuster,106,52,"Nonfiction, Audiobook, Adult"
HarperCollins Publishers,99,59,"Fantasy, Young Adult, Childrens"
Createspace,81,76,"Romance, Fantasy, Paranormal"
Scholastic Paperbacks,82,67,"Childrens, Young Adult, Middle Grade"
VIZ Media LLC,118,26,"Manga, Graphic Novels, Comics"
Scholastic,89,55,"Young Adult, Childrens, Middle Grade"
Bethany House Publishers,63,81,"Christian, Christian Fiction, Romance"
CreateSpace,75,65,"Romance, Young Adult, Contemporary"
William Morrow Paperbacks,72,67,"Adult, Romance, Contemporary"
Simon Schuster,112,26,"Nonfiction, Audiobook, History"
Puffin Books,76,60,"Childrens, Young Adult, Middle Grade"
Thomas Nelson,85,51,"Christian, Christian Fiction, Nonfiction"
William Morrow,93,42,"Audiobook, Adult, Mystery"
Aladdin,67,64,"Middle Grade, Childrens, Young Adult"
Grove Press,105,25,"Literature, Novels, Classics"
Atria Books,65,62,"Adult, Romance, Contemporary"
Dell,49,74,"Romance, Adult, Historical Fiction"
Gallery Books,48,73,"Adult, Romance, Contemporary"
Amazon Digital Services,71,47,"Romance, Fantasy, Contemporary"
CreateSpace Independent Publishing Platform,67,50,"Romance, New Adult, Contemporary"
Dover Publications,103,14,"Classics, Literature, Nonfiction"
Knopf,79,36,"Audiobook, Contemporary, Adult"
Anchor,72,41,"Novels, Nonfiction, Literature"
Tyndale House Publishers,61,49,"Christian, Christian Fiction, Romance"
"Farrar, Straus and Giroux",75,32,"Literature, Novels, Classics"
Razorbill,37,69,"Young Adult, Fantasy, Romance"
Simon Schuster Books for Young Readers,45,58,"Young Adult, Teen, Childrens"
Scholastic Inc.,59,43,"Childrens, Young Adult, Middle Grade"
Roc,55,46,"Fantasy, Magic, Science Fiction Fantasy"
Zondervan,43,57,"Christian, Christian Fiction, Romance"
G.P. Putnam's Sons,68,31,"Mystery, Thriller, Mystery Thriller"
Oxford University Press,76,20,"Classics, Literature, Historical Fiction"
Picador,75,20,"Literature, Novels, Contemporary"
St. Martin's Paperbacks,47,48,"Romance, Mystery, Adult"
Gollancz,71,24,"Fantasy, Science Fiction Fantasy, Science Fiction"
HarperOne,72,21,"Nonfiction, Spirituality, Religion"
DAW,50,43,"Fantasy, Science Fiction Fantasy, Magic"
Bantam Books,59,34,"Mystery, Classics, Thriller"
"Oxford University Press, USA",85,8,"Nonfiction, Classics, History"
DC Comics,91,1,"Comics, Graphic Novels, Comic Book"
Doubleday,70,21,"Audiobook, Contemporary, Adult"
Delacorte Books for Young Readers,53,37,"Young Adult, Fantasy, Teen"
Random House Books for Young Readers,61,28,"Childrens, Fantasy, Young Adult"
Katherine Tegen Books,27,62,"Young Adult, Fantasy, Romance"
Riverhead Books,55,32,"Contemporary, Adult, Novels"
Puffin,56,30,"Young Adult, Childrens, Fantasy"
Harry N. Abrams,72,14,"Young Adult, Childrens, Fantasy"
Modern Library,74,12,"Classics, Literature, Novels"
دار الشروق,85,0,"Literature, Nonfiction, Egypt"
Avon Books,56,28,"Fantasy, Romance, Historical Fiction"
Smashwords,39,45,"Romance, Contemporary, Fantasy"
