ID,alpha2,year,nationality,counts,counts_raw
4,AF,2013,Afghanistan,0.0316,1
4,AF,2014,Afghanistan,0.0305,1
4,AF,2017,Afghanistan,0.028,1
4,AF,2018,Afghanistan,0.0272,1
12,DZ,2014,Algeria,0.0255,1
12,DZ,2015,Algeria,0.025,1
12,DZ,2016,Algeria,0.0245,1
12,DZ,2017,Algeria,0.024,1
12,DZ,2022,Algiers,0.022,1
24,AO,2017,Angola,0.0331,1
31,AZ,2019,Azerbaijan,0.0998,1
32,AR,2013,Argentina,0.0235,1
32,AR,2015,Argentina,0.092,4
32,AR,2016,Argentina,0.0911,4
32,AR,2017,Argentina,0.0677,3
32,AR,2018,Argentina,0.0224,1
32,AR,2019,Argentina,0.1112,5
32,AR,2020,Argentina,0.0885,4
32,AR,2021,Argentina,0.1103,5
32,AR,2022,Argentina,0.022,1
36,AU,2013,Australia,0.0432,1
36,AU,2014,Australia,0.2982,7
36,AU,2015,Australia,0.3359,8
36,AU,2016,Australia,0.4134,10
36,AU,2017,Australia,0.366,9
36,AU,2018,Australia,0.2804,7
36,AU,2019,Australia,0.4342,11
36,AU,2020,Australia,0.1949,5
36,AU,2021,Australia,0.1557,4
36,AU,2022,Australia,0.1537,4
40,AT,2013,Austria,0.1179,1
40,AT,2014,Austria,0.234,2
40,AT,2015,Austria,0.1157,1
40,AT,2016,Austria,0.4578,4
40,AT,2017,Austria,0.7957,7
40,AT,2018,Austria,0.3393,3
40,AT,2019,Austria,0.3378,3
40,AT,2020,Austria,0.4486,4
40,AT,2021,Austria,0.2233,2
51,AM,2021,Armenia,0.3376,1
56,BE,2013,Belgium,0.1792,2
56,BE,2014,Belgium,0.0892,1
56,BE,2015,Belgium,0.1774,2
56,BE,2016,Belgium,0.2648,3
56,BE,2017,Belgium,0.3516,4
56,BE,2018,Belgium,0.2625,3
56,BE,2019,Belgium,0.1741,2
56,BE,2020,Belgium,0.1733,2
56,BE,2021,Belgium,0.2589,3
70,BA,2014,Bosnia and Herzegovina,0.2805,1
70,BA,2019,Bosnia and Herzegovina,0.2989,1
76,BR,2013,Brazil,0.0101,2
76,BR,2014,Brazil,0.02,4
76,BR,2015,Brazil,0.0099,2
76,BR,2016,Brazil,0.0148,3
76,BR,2017,Brazil,0.0147,3
76,BR,2018,Brazil,0.0194,4
76,BR,2019,Brazil,0.0193,4
76,BR,2021,Brazil,0.0048,1
