ID,alpha2,year,nationality,counts,counts_raw
76,BR,2022,Brazil,0.0048,1
100,BG,2018,Bulgaria,0.298,2
100,BG,2019,Bulgaria,0.9068,6
100,BG,2021,Bulgaria,0.6147,4
100,BG,2022,Bulgaria,0.7734,5
120,CM,2020,Cameroon,0.0382,1
124,CA,2013,Canada,0.171,6
124,CA,2014,Canada,0.0847,3
124,CA,2015,Canada,0.2241,8
124,CA,2016,Canada,0.1385,5
124,CA,2017,Canada,0.1642,6
124,CA,2018,Canada,0.1618,6
124,CA,2019,Canada,0.0797,3
124,CA,2020,Canada,0.0526,2
124,CA,2021,Canada,0.0523,2
124,CA,2022,Canada,0.1027,4
144,LK,2018,Sri Lanka,0.0461,1
152,CL,2014,Chile,0.056,1
152,CL,2015,Chile,0.0554,1
152,CL,2016,Chile,0.0547,1
152,CL,2017,Chile,0.0539,1
152,CL,2018,Chile,0.0529,1
152,CL,2019,Chile,0.0521,1
152,CL,2020,Chile,0.1549,3
152,CL,2022,Chile,0.0511,1
156,CN,2014,China,0.0066,9
156,CN,2015,China,0.0036,5
156,CN,2016,China,0.0022,3
156,CN,2017,China,0.0021,3
156,CN,2018,China,0.0043,6
156,CN,2019,China,0.0036,5
156,CN,2020,China,0.0021,3
156,CN,2021,China,0.0007,1
156,CN,2022,China,0.0021,3
170,CO,2014,Colombia,0.0644,3
170,CO,2021,Colombia,0.0391,2
170,CO,2022,Colombia,0.0193,1
192,CU,2013,Cuba,0.0885,1
192,CU,2014,Cuba,0.0886,1
192,CU,2016,Cuba,0.0888,1
192,CU,2018,Cuba,0.0891,1
192,CU,2020,Cuba,0.0895,1
196,CY,2019,Cyprus,0.7772,1
196,CY,2021,Cyprus,0.7591,1
203,CZ,2014,Czech Republic,0.19,2
203,CZ,2018,Czechia,0.0941,1
203,CZ,2019,Czechia,0.1874,2
203,CZ,2020,Czechia,0.2804,3
203,CZ,2021,Czechia,0.2856,3
203,CZ,2022,Czechia,0.1874,2
208,DK,2013,Denmark,0.3562,2
208,DK,2014,Denmark,0.1772,1
208,DK,2015,Denmark,1.2316,7
208,DK,2016,Denmark,0.3492,2
208,DK,2017,Denmark,0.3469,2
208,DK,2018,Denmark,0.6904,4
208,DK,2019,Denmark,0.344,2
208,DK,2021,Denmark,0.8537,5
208,DK,2022,Denmark,0.1694,1
212,DM,2018,Dominican Republic,14.6683,1
212,DM,2019,Dominican Republic,58.9275,4
233,EE,2020,Estonia,0.7522,1
246,FI,2014,Finland,0.1831,1
246,FI,2015,Finland,0.73,4
246,FI,2016,Finland,1.2738,7
246,FI,2017,Finland,0.5446,3
246,FI,2018,Finland,1.0878,6
246,FI,2019,Finland,1.2677,7
250,FR,2013,France,0.2879,19
250,FR,2014,France,0.8747,58
250,FR,2015,France,0.541,36
250,FR,2016,France,0.6744,45
250,FR,2017,France,0.538,36
250,FR,2018,France,0.4318,29
250,FR,2019,France,0.5788,39
250,FR,2020,France,0.5917,40
250,FR,2021,France,0.5159,35
250,FR,2022,France,0.748,51
268,GE,2022,Georgia,0.2694,1
276,DE,2013,Germany,0.1736,14
276,DE,2014,Germany,0.3951,32
276,DE,2015,Germany,0.2326,19
276,DE,2016,Germany,0.3157,26
276,DE,2017,Germany,0.2662,22
276,DE,2018,Germany,0.4101,34
276,DE,2019,Germany,0.2888,24
276,DE,2020,Germany,0.3487,29
276,DE,2021,Germany,0.3005,25
276,DE,2022,Germany,0.3847,32
300,GR,2014,Greece,0.1836,2
300,GR,2015,Greece,0.4621,5
300,GR,2016,Greece,0.1856,2
300,GR,2017,Greece,0.186,2
300,GR,2018,Greece,0.6522,7
300,GR,2019,Greece,0.4663,5
300,GR,2020,Greece,0.1869,2
300,GR,2021,Greece,0.1892,2
300,GR,2022,Greece,0.1916,2
332,HT,2014,Haiti,0.0964,1
348,HU,2015,Hungary,0.5103,5
348,HU,2016,Hungary,0.5123,5
348,HU,2017,Hungary,0.4112,4
348,HU,2018,Hungary,0.9272,9
348,HU,2021,Hungary,0.7268,7
348,HU,2022,Hungary,0.3123,3
352,IS,2014,Iceland,6.109,2
352,IS,2015,Iceland,6.0457,2
352,IS,2016,Iceland,2.9812,1
352,IS,2017,Iceland,2.9121,1
352,IS,2020,Iceland,5.4576,2
352,IS,2022,Iceland,31.4134,12
356,IN,2014,India,0.0061,8
356,IN,2015,India,0.0038,5
356,IN,2017,India,0.0015,2
356,IN,2018,India,0.0015,2
356,IN,2020,India,0.0021,3
356,IN,2021,India,0.0035,5
356,IN,2022,India,0.0014,2
360,ID,2015,Indonesia,0.0038,1
364,IR,2016,Iran,0.0119,1
364,IR,2021,Iran,0.0113,1
368,IQ,2016,Iraq,0.026,1
372,IE,2014,Ireland,1.9323,9
372,IE,2015,Ireland,1.2761,6
372,IE,2016,Ireland,1.0498,5
372,IE,2017,Ireland,0.4143,2
372,IE,2018,Ireland,0.6125,3
372,IE,2019,Ireland,0.4019,2
372,IE,2020,Ireland,1.1905,6
372,IE,2021,Ireland,0.9784,5
372,IE,2022,Ireland,1.151,6
376,IL,2014,Israel,0.4869,4
376,IL,2015,Israel,0.4773,4
376,IL,2016,Israel,0.117,1
376,IL,2017,Israel,0.2295,2
376,IL,2018,Israel,0.2252,2
376,IL,2019,Israel,0.4418,4
376,IL,2020,Israel,0.217,2
376,IL,2021,Israel,0.4268,4
376,IL,2022,Israel,0.1046,1
380,IT,2013,Italy,0.9119,55
380,IT,2014,Italy,1.3262,80
380,IT,2015,Italy,1.3449,81
380,IT,2016,Italy,1.1811,71
380,IT,2017,Italy,1.0,60
380,IT,2018,Italy,0.7814,47
380,IT,2019,Italy,0.7869,47
380,IT,2020,Italy,0.5888,35
380,IT,2021,Italy,0.7272,43
380,IT,2022,Italy,0.6778,40
384,CI,2014,Ivory Coast,0.0408,1
388,JM,2019,Jamaica,0.7084,2
392,JP,2013,Japan,0.0157,2
392,JP,2014,Japan,0.0393,5
392,JP,2015,Japan,0.0472,6
392,JP,2016,Japan,0.1023,13
392,JP,2017,Japan,0.0945,12
392,JP,2018,Japan,0.0552,7
392,JP,2019,Japan,0.0158,2
392,JP,2020,Japan,0.0079,1
392,JP,2021,Japan,0.0477,6
392,JP,2022,Japan,0.016,2
398,KZ,2021,Kazakhstan,0.0506,1
410,KR,2013,South Korea,0.119,6
410,KR,2014,South Korea,0.0394,2
410,KR,2015,South Korea,0.0392,2
410,KR,2016,South Korea,0.0781,4
410,KR,2017,South Korea,0.1363,7
410,KR,2018,South Korea,0.0775,4
410,KR,2022,South Korea,0.0194,1
422,LB,2013,Lebanon,0.1741,1
422,LB,2021,Lebanon,0.1749,1
428,LV,2021,Latvia,0.5306,1
458,MY,2014,Malaysia,0.1303,4
458,MY,2015,Malaysia,0.032,1
458,MY,2018,Malaysia,0.0912,3
458,MY,2020,Malaysia,0.177,6
458,MY,2021,Malaysia,0.0583,2
484,MX,2013,Mexico,0.0084,1
484,MX,2014,Mexico,0.0334,4
484,MX,2018,Mexico,0.0241,3
484,MX,2019,Mexico,0.0239,3
484,MX,2020,Mexico,0.0237,3
484,MX,2021,Mexico,0.0157,2
484,MX,2022,Mexico,0.0156,2
504,MA,2014,Morocco,0.0292,1
504,MA,2016,Morocco,0.0571,2
504,MA,2018,Morocco,0.0279,1
504,MA,2020,Morocco,0.0273,1
504,MA,2022,Morocco,0.0268,1
508,MZ,2015,Mozambique,0.0377,1
508,MZ,2016,Mozambique,0.0366,1
508,MZ,2017,Mozambique,0.0355,1
512,OM,2020,Romania,0.2211,1
512,OM,2021,Romania,0.6666,3
512,OM,2022,Romania,0.2114,1
528,NL,2013,Netherlands,0.2975,5
528,NL,2015,Netherlands,0.2361,4
528,NL,2016,Netherlands,0.2349,4
528,NL,2017,Netherlands,0.1167,2
528,NL,2018,Netherlands,0.1161,2
528,NL,2019,Netherlands,0.1153,2
528,NL,2020,Netherlands,0.0573,1
554,NZ,2016,New Zealand,0.2121,1
554,NZ,2018,New Zealand,0.4081,2
554,NZ,2019,New Zealand,0.8048,4
554,NZ,2020,New Zealand,0.3943,2
554,NZ,2021,New Zealand,0.1967,1
554,NZ,2022,New Zealand,0.1968,1
562,NE,2015,Nigeria,0.0502,1
562,NE,2018,Nigeria,0.1803,4
578,NO,2013,Norway,1.3781,7
578,NO,2014,Norway,1.1679,6
578,NO,2015,Norway,0.9636,5
578,NO,2016,Norway,1.7194,9
578,NO,2017,Norway,1.895,10
578,NO,2018,Norway,0.3765,2
578,NO,2019,Norway,1.3089,7
578,NO,2020,Norway,0.3718,2
578,NO,2021,Norway,0.3698,2
578,NO,2022,Norway,1.2827,7
586,PK,2017,Pakistan,0.0045,1
604,PE,2013,Peru,0.0335,1
604,PE,2016,Peru,0.0324,1
604,PE,2018,Peru,0.0314,1
604,PE,2019,Peru,0.0308,1
604,PE,2020,Peru,0.0609,2
608,PH,2020,Philippines,0.0089,1
616,PL,2014,Poland,0.1052,4
616,PL,2015,Poland,0.2106,8
616,PL,2016,Poland,0.237,9
616,PL,2017,Poland,0.1053,4
616,PL,2018,Poland,0.0263,1
616,PL,2019,Poland,0.2107,8
616,PL,2020,Poland,0.1866,7
616,PL,2021,Poland,0.1082,4
616,PL,2022,Poland,0.1086,4
620,PT,2015,Portugal,0.4827,5
620,PT,2016,Portugal,0.4842,5
620,PT,2017,Portugal,0.6796,7
620,PT,2020,Portugal,0.0971,1
620,PT,2021,Portugal,0.0965,1
620,PT,2022,Portugal,0.0958,1
643,RU,2013,Russia,0.0626,9
643,RU,2014,Russia,0.0416,6
643,RU,2018,Russia,0.0275,4
643,RU,2019,Russia,0.0275,4
643,RU,2020,Russia,0.0413,6
643,RU,2021,Russia,0.0138,2
643,RU,2022,Russia,0.0069,1
646,RW,2016,Rwanda,0.0839,1
686,SN,2021,Senegal,0.0581,1
702,SG,2016,Singapore,0.1783,1
702,SG,2017,Singapore,0.3564,2
702,SG,2020,Singapore,0.3518,2
702,SG,2021,Singapore,0.1834,1
704,VN,2017,Vietnam,0.0105,1
704,VN,2019,Vietnam,0.0103,1
704,VN,2021,Vietnam,0.0101,1
704,VN,2022,Vietnam,0.01,1
710,ZA,2014,South Africa,0.0719,4
710,ZA,2015,South Africa,0.1058,6
710,ZA,2016,South Africa,0.0349,2
710,ZA,2017,South Africa,0.0521,3
710,ZA,2018,South Africa,0.0682,4
710,ZA,2019,South Africa,0.0336,2
710,ZA,2020,South Africa,0.0165,1
710,ZA,2021,South Africa,0.0488,3
710,ZA,2022,South Africa,0.0481,3
724,ES,2013,Spain,0.4721,22
724,ES,2014,Spain,0.6027,28
724,ES,2015,Spain,0.5385,25
724,ES,2016,Spain,0.6457,30
724,ES,2017,Spain,0.5368,25
724,ES,2018,Spain,0.5985,28
724,ES,2019,Spain,0.6367,30
724,ES,2020,Spain,0.8446,40
724,ES,2021,Spain,0.7588,36
724,ES,2022,Spain,0.8998,43
752,SE,2013,Sweden,0.7291,7
752,SE,2014,Sweden,1.4439,14
752,SE,2015,Sweden,1.5307,15
752,SE,2016,Sweden,0.907,9
752,SE,2017,Sweden,0.696,7
752,SE,2018,Sweden,0.5897,6
752,SE,2019,Sweden,0.5837,6
752,SE,2020,Sweden,0.6761,7
752,SE,2021,Sweden,0.576,6
752,SE,2022,Sweden,0.6675,7
756,CH,2013,Switzerland,0.2472,2
756,CH,2014,Switzerland,0.1221,1
756,CH,2015,Switzerland,0.8452,7
756,CH,2016,Switzerland,0.2389,2
756,CH,2017,Switzerland,0.1183,1
756,CH,2018,Switzerland,0.1174,1
756,CH,2019,Switzerland,0.6997,6
756,CH,2020,Switzerland,0.2315,2
756,CH,2021,Switzerland,0.1149,1
756,CH,2022,Switzerland,0.3418,3
760,SY,2015,Syria,0.0515,1
760,SY,2019,Syria,0.0491,1
780,TT,2015,Trinidad and Tobago,0.7409,1
792,TR,2014,Turkey,0.0907,7
792,TR,2015,Turkey,0.1023,8
792,TR,2016,Turkey,0.0883,7
792,TR,2017,Turkey,0.0872,7
792,TR,2018,Turkey,0.086,7
792,TR,2019,Turkey,0.0969,8
792,TR,2020,Turkey,0.048,4
792,TR,2021,Turkey,0.0475,4
792,TR,2022,Turkey,0.0235,2
800,UG,2017,Uganda,0.0249,1
804,UA,2019,Ukraine,0.1112,5
804,UA,2020,Ukraine,0.0224,1
804,UA,2021,Ukraine,0.0226,1
804,UA,2022,Ukraine,0.0244,1
818,EG,2013,Egypt,0.0839,8
818,EG,2018,Egypt,0.0095,1
818,EG,2020,Egypt,0.0091,1
818,EG,2022,Egypt,0.0444,5
826,GB,2013,United Kingdom,0.3118,20
826,GB,2014,United Kingdom,0.6964,45
826,GB,2015,Scotland,0.5685,37
826,GB,2016,Scotland,0.5182,34
826,GB,2017,United Kingdom,0.5761,38
826,GB,2018,United Kingdom,0.4073,27
826,GB,2019,United Kingdom,0.5853,39
826,GB,2020,United Kingdom,0.5544,37
826,GB,2021,United Kingdom,0.4628,31
826,GB,2022,United Kingdom,0.429,29
834,TZ,2021,Tanzania,0.0159,1
840,US,2013,United States,0.2684,85
840,US,2014,United States,0.4385,140
840,US,2015,United States,0.404,130
840,US,2016,United States,0.3669,119
840,US,2017,United States,0.3429,112
840,US,2018,United States,0.3622,119
840,US,2019,United States,0.2998,99
840,US,2020,United States,0.3137,104
840,US,2021,United States,0.3101,103
840,US,2022,United States,0.2964,99
858,UY,2016,Uruguay,0.2959,1
862,VE,2015,Venezuela,0.0327,1
862,VE,2018,Venezuela,0.0335,1
862,VE,2019,Venezuela,0.0691,2
