title,author,rating,gender,publisher,publishDate
The Hunger Games,Suzanne Collins,4.33,w,Scholastic Press,09/14/08
Twilight,Stephenie Meyer,3.6,m,"Little, Brown and Company",09/06/06
The Chronicles of Narnia,C.S. Lewis,4.26,m,HarperCollins,09/16/02
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6,m,Ballantine Books,09/25/12
Gone with the Wind,Margaret Mitchell,4.3,w,Warner Books,04/01/99
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,m,Del Rey,06/23/07
The Giving Tree,Shel Silverstein,4.37,m,HarperCollins Publishers,10/07/64
Wuthering Heights,Emily Brontë,3.86,w,Norton,10/28/02
The Da Vinci Code,Dan Brown,3.86,m,Anchor,03/28/06
Memoirs of a Geisha,Arthur Golden,4.12,m,Vintage Books USA,11/22/05
The Picture of Dorian Gray,Oscar Wilde,4.08,m,Random House: Modern Library,06/01/04
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,4.06,m,Penguin Group (USA),12/01/00
Jane Eyre,Charlotte Brontë,4.13,w,Penguin,02/04/03
Les Misérables,Victor Hugo,4.18,m,Signet Classics,03/03/87
Lord of the Flies,William Golding,3.69,m,Penguin Books,10/01/99
Romeo and Juliet,William Shakespeare,3.75,m,Simon Schuster,01/01/04
Crime and Punishment,Fyodor Dostoyevsky,4.22,m,Penguin,12/31/02
Ender's Game,Orson Scott Card,4.3,m,Macmillan Audio,09/30/04
The Help,Kathryn Stockett,4.47,w,Amy Einhorn Books/G.P. Putnam's Sons,02/10/09
Anne of Green Gables,L.M. Montgomery,4.26,m,Signet Book,05/06/03
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,m,Scholastic Inc,11/01/03
Charlotte's Web,E.B. White,4.17,m,HarperCollinsPublishers,10/01/01
Of Mice and Men,John Steinbeck,3.88,m,Penguin Books,01/08/02
The Time Traveler's Wife,Audrey Niffenegger,3.97,w,Zola Books,09/23/13
Dracula,Bram Stoker,4.0,m,Norton,05/12/86
The Princess Bride,William Goldman,4.26,m,Ballantine Books,07/15/03
The Lightning Thief,Rick Riordan,4.26,m,Disney Hyperion Books,03/01/06
The Secret Garden,Frances Hodgson Burnett,4.13,w,Children's Classics,09/01/98
A Wrinkle in Time,Madeleine L'Engle,4.0,w,Square Fish,11/07/17
The Adventures of Huckleberry Finn,Mark Twain,3.82,m,Penguin Classics,12/31/02
The Lovely Bones,Alice Sebold,3.82,w,"Little, Brown and Company",09/01/06
The Outsiders,S.E. Hinton,4.1,m,Puffin Books (US/CAN),09/01/97
Where the Wild Things Are,Maurice Sendak,4.22,m,Red Fox,10/28/00
Green Eggs and Ham,Dr. Seuss,4.3,m,Random House Books for Young Readers,10/28/88
The Odyssey,Homer,3.77,m,Penguin Classics,11/30/06
A Tale of Two Cities,Charles Dickens,3.85,m,Penguin Books,10/28/03
Water for Elephants,Sara Gruen,4.09,w,Algonquin Books,05/01/07
Lolita,Vladimir Nabokov,3.89,m,Penguin,10/28/95
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,m,Dial Press,01/12/99
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.81,m,Penguin Classics,03/08/18
The Giver,Lois Lowry,4.13,w,Ember,01/24/06
Catch-22,Joseph Heller,3.98,m,Simon & Schuster,09/04/04
The Pillars of the Earth,Ken Follett,4.31,m,NAL Trade,02/04/02
The Stand,Stephen King,4.34,m,Doubleday Books,05/01/90
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.3,m,Oxford University Press,10/22/98
Watership Down,Richard Adams,4.06,m,Avon Books,06/28/75
Great Expectations,Charles Dickens,3.78,m,Oxford University Press,10/28/98
The Bell Jar,Sylvia Plath,4.01,w,Harper Perennial Modern Classics,10/28/06
Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,m,Arthur A. Levine Books / Scholastic Inc.,07/21/07
Anna Karenina,"Leo Tolstoy, Lev Tolstoi",4.05,m;m,Vintage,10/16/12
My Sister's Keeper,Jodi Picoult,4.08,w,Washington Square Press,02/01/05
Matilda,Roald Dahl,4.32,m,Puffin Books,06/01/98
The Fellowship of the Ring,J.R.R. Tolkien,4.36,m,Ballantine Books,03/28/73
The Girl with the Dragon Tattoo,Stieg Larsson,4.14,m,Knopf,09/16/08
Rebecca,Daphne du Maurier,4.23,w,"Little, Brown and Company",12/17/13
1984,George Orwell,4.19,m,Houghton Mifflin Harcourt,09/03/13
The Color Purple,Alice Walker,4.22,w,Penguin Books,12/10/19
A Tree Grows in Brooklyn,Betty Smith,4.27,w,HarperCollins Publishers,05/30/06
