attribute_type,attribute,men,women,mixed,unknown,total,gendered_total,pct_women,pct_men,disparity
genre,Romance,2656,4868,22,1,7547,7524,0.647,0.353,0.294
genre,Fantasy,4381,2808,78,0,7267,7189,0.3906,0.6094,-0.2188
genre,Nonfiction,5045,1460,171,0,6676,6505,0.2244,0.7756,-0.5511
genre,Young Adult,1909,2593,46,0,4548,4502,0.576,0.424,0.1519
genre,Classics,2896,533,11,0,3440,3429,0.1554,0.8446,-0.6891
genre,Thriller,1787,539,18,0,2344,2326,0.2317,0.7683,-0.5365
genre,Science Fiction,1663,255,37,0,1955,1918,0.133,0.867,-0.7341
genre,Childrens,879,733,32,0,1644,1612,0.4547,0.5453,-0.0906
genre,Horror,969,155,12,0,1136,1124,0.1379,0.8621,-0.7242
genre,Philosophy,894,48,3,0,945,942,0.051,0.949,-0.8981
genre,Poetry,745,169,3,0,917,914,0.1849,0.8151,-0.6302
origin,United States,556,497,56,1,1110,1053,0.472,0.528,-0.056
origin,Italy,372,105,82,0,559,477,0.2201,0.7799,-0.5597
origin,France,246,113,29,0,388,359,0.3148,0.6852,-0.3705
origin,United Kingdom,141,186,8,0,335,327,0.5688,0.4312,0.1376
origin,Spain,163,136,8,0,307,299,0.4548,0.5452,-0.0903
origin,Germany,149,100,8,0,257,249,0.4016,0.5984,-0.1968
origin,Sweden,44,37,3,0,84,81,0.4568,0.5432,-0.0864
origin,Australia,29,32,5,0,66,61,0.5246,0.4754,0.0492
origin,Norway,33,24,0,0,57,57,0.4211,0.5789,-0.1579
origin,Japan,49,5,0,2,56,54,0.0926,0.9074,-0.8148
origin,Turkey,31,22,1,0,54,53,0.4151,0.5849,-0.1698
origin,Poland,23,24,2,0,49,47,0.5106,0.4894,0.0213
origin,Canada,12,33,0,0,45,45,0.7333,0.2667,0.4667
origin,Ireland,23,21,0,0,44,44,0.4773,0.5227,-0.0455
origin,China,32,6,0,0,38,38,0.1579,0.8421,-0.6842
origin,Hungary,11,20,2,0,33,31,0.6452,0.3548,0.2903
origin,Russia,15,16,1,0,32,31,0.5161,0.4839,0.0323
origin,Greece,14,15,0,0,29,29,0.5172,0.4828,0.0345
origin,Argentina,11,17,0,0,28,28,0.6071,0.3929,0.2143
origin,Finland,9,19,0,0,28,28,0.6786,0.3214,0.3571
origin,South Africa,15,11,2,0,28,26,0.4231,0.5769,-0.1538
origin,Austria,22,5,0,0,27,27,0.1852,0.8148,-0.6296
origin,India,19,8,0,0,27,27,0.2963,0.7037,-0.4074
origin,Denmark,19,5,2,0,26,24,0.2083,0.7917,-0.5833
origin,South Korea,10,16,0,0,26,26,0.6154,0.3846,0.2308
origin,Switzerland,20,5,0,1,26,25,0.2,0.8,-0.6
origin,Brazil,18,4,2,0,24,22,0.1818,0.8182,-0.6364
origin,Israel,14,10,0,0,24,24,0.4167,0.5833,-0.1667
origin,Belgium,9,13,0,0,22,22,0.5909,0.4091,0.1818
origin,Iceland,13,5,2,0,20,18,0.2778,0.7222,-0.4444
origin,Netherlands,13,7,0,0,20,20,0.35,0.65,-0.3
origin,Portugal,18,2,0,0,20,20,0.1,0.9,-0.8
origin,Mexico,10,7,1,0,18,17,0.4118,0.5882,-0.1765
origin,Bulgaria,7,10,0,0,17,17,0.5882,0.4118,0.1765
origin,Malaysia,6,10,0,0,16,16,0.625,0.375,0.25
origin,Egypt,11,4,0,0,15,15,0.2667,0.7333,-0.4667
origin,Czechia,4,7,0,0,11,11,0.6364,0.3636,0.2727
origin,New Zealand,2,7,2,0,11,9,0.7778,0.2222,0.5556
origin,Chile,4,6,0,0,10,10,0.6,0.4,0.2
origin,Ukraine,4,1,3,0,8,5,0.2,0.8,-0.6
origin,Colombia,5,1,0,0,6,6,0.1667,0.8333,-0.6667
origin,Peru,6,0,0,0,6,6,0.0,1.0,-1.0
origin,Singapore,6,0,0,0,6,6,0.0,1.0,-1.0
origin,Taiwan,2,1,0,3,6,3,0.3333,0.6667,-0.3333
origin,Cuba,5,0,0,0,5,5,0.0,1.0,-1.0
origin,Dominican Republic,2,3,0,0,5,5,0.6,0.4,0.2
origin,Morocco,0,3,2,0,5,3,1.0,0.0,1.0
origin,Nigeria,2,3,0,0,5,5,0.6,0.4,0.2
origin,Romania,3,2,0,0,5,5,0.4,0.6,-0.2
origin,Afghanistan,4,0,0,0,4,4,0.0,1.0,-1.0
origin,Algeria,3,1,0,0,4,4,0.25,0.75,-0.5
origin,Venezuela,1,3,0,0,4,4,0.75,0.25,0.5
origin,Vietnam,3,1,0,0,4,4,0.25,0.75,-0.5
origin,Mozambique,3,0,0,0,3,3,0.0,1.0,-1.0
origin,Bosnia and Herzegovina,2,0,0,0,2,2,0.0,1.0,-1.0
origin,Cyprus,2,0,0,0,2,2,0.0,1.0,-1.0
origin,Czech Republic,2,0,0,0,2,2,0.0,1.0,-1.0
origin,Iran,1,1,0,0,2,2,0.5,0.5,0.0
origin,Jamaica,1,1,0,0,2,2,0.5,0.5,0.0
origin,Lebanon,2,0,0,0,2,2,0.0,1.0,-1.0
origin,Scotland,0,2,0,0,2,2,1.0,0.0,1.0
origin,Syria,2,0,0,0,2,2,0.0,1.0,-1.0
origin,Algiers,0,1,0,0,1,1,1.0,0.0,1.0
origin,Angola,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Armenia,0,1,0,0,1,1,1.0,0.0,1.0
origin,Azerbaijan,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Cameroon,0,1,0,0,1,1,1.0,0.0,1.0
origin,Estonia,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Georgia,0,1,0,0,1,1,1.0,0.0,1.0
origin,Haiti,0,1,0,0,1,1,1.0,0.0,1.0
origin,Indonesia,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Iraq,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Ivory Coast,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Kazakhstan,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Latvia,0,1,0,0,1,1,1.0,0.0,1.0
origin,Morroco,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Pakistan,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Philippines,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Rwanda,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Senegal,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Sri Lanka,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Tanzania,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Trinidad and Tobago,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Uganda,1,0,0,0,1,1,0.0,1.0,-1.0
origin,Uruguay,0,1,0,0,1,1,1.0,0.0,1.0
