,title,author,rating,genres,language,gender
1062,Pleasant Day,Vera Jane Cook,4.33,Contemporary,English,w
1063,Empire Falls,Richard Russo,3.93,Fiction,English,m
1067,The Beekeeper's Apprentice,Laurie R. King,4.06,Mystery,English,w
1070,Year of Wonders,Geraldine Brooks,4.01,Historical Fiction,English,w
1129,"Missing Wings: Chronicles of the Aranysargas (Aranysargas, #1)",Andrea Luhman,4.33,Epic,English,w
1138,"America's Daughter (Dancing Soul Trilogy, #2)",Maria Nhambu,4.3,Fiction,English,w
1149,City of Thieves,David Benioff,4.28,Historical Fiction,English,m
1151,Fall of Giants,Ken Follett,4.28,Historical Fiction,English,m
1173,What Is the What,Dave Eggers,4.16,Fiction,English,m
1192,Toe to Toe,Deborah Leblanc,4.33,Epic,,w
1202,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,Jonas Jonasson,3.82,Fiction,English,m
1212,The Scopas Factor,Vincent Panettiere,4.3,Fiction,,m
1275,Even Cowgirls Get the Blues,Tom Robbins,3.76,Fiction,English,m
1290,Midwives,Chris Bohjalian,3.99,Fiction,English,m
1295,The New York Trilogy,Paul Auster,3.88,Fiction,English,m
1296,Wolf Hall,Hilary Mantel,3.88,Historical Fiction,English,w
1301,Pope Joan,Donna Woolfolk Cross,4.07,Historical Fiction,English,w
1302,"Ahab's Wife, or The Star-Gazer",Sena Jeter Naslund,4.03,Fiction,English,w
1303,Honor and Polygamy,Omar Farhad,4.24,Fiction,,m
1313,The Storyteller,Jodi Picoult,4.27,Fiction,English,w
1319,The Book of Negroes,Lawrence Hill,4.46,Historical Fiction,English,m
1333,People of the Book,Geraldine Brooks,4.02,Historical Fiction,English,w
1364,About a Boy,Nick Hornby,3.79,Fiction,English,m
1407,Down and Rising,Rohith S. Katbamna,4.85,Post Apocalyptic,English,m
1436,The Savage Detectives,Roberto Bolaño,4.13,Fiction,English,m
1451,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.33,Fiction,English,m
1463,Trouble on Main Street,Kirsten Fullmer,4.34,Fiction,English,w
1472,Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.28,Fiction,English,m
1483,Beg For Mercy,Lucian Bane,4.29,,English,m
1494,My Name Is Red,Orhan Pamuk,3.85,Fiction,English,m
1538,Paradox Effect: Time Travel and Purified DNA Merge to Halt the Collapse of Human Existence,Gabriel F.W. Koch,4.37,Fiction,,m
1555,The Human Obsession,Heath Sommer,4.14,Mystery,English,m
1567,سیمای شکسته پدر سالار,سید مرتضی مصطفوی,3.56,,Persian,m
1579,Moloka'i,Alan Brennert,4.17,Historical Fiction,English,m
1582,Let the Great World Spin,Colum McCann,3.94,Fiction,English,m
1586,"Drum Beats, Heart Beats (Dancing Soul Trilogy, #3)",Maria Nhambu,4.3,Contemporary,English,w
1589,Brownout - 666: or the Real Meaning of the Swastika,John Richard Spencer,4.38,Contemporary,,m
1596,The Candidate and other stories,Samuel R. George,4.35,Contemporary,English,m
1609,Eye for Eye,J.K. Franko,4.3,Epic,English,m
1613,The Kitchen House,Kathleen Grissom,4.19,Historical Fiction,English,w
1625,The Lords of Discipline,Pat Conroy,4.31,Fiction,English,m
1642,The Steps: 12 Secrets To Raising Happy and Successful Kids,"Andrew Watson , Charles Watson",4.65,Parenting,English,m;m
1681,A Gracious Enemy 'storytelleruk2019',Michael G. Kramer,4.3,Drama,,m
1684,Carnal: Somewhere Over 40 Winks,Rom LcO'Feer,3.77,Psychology,English,m
1709,The Grand Delusion,Heath Sommer,4.12,Mystery,English,m
1731,Stones (One True Child #5),L.C. Conn,4.3,Book Club,,m
1734,Follow the River,James Alexander Thom,4.22,Historical Fiction,English,m
1765,Take My Heart,J.J. Sorel,4.34,Book Club,English,m
1769,One Thousand White Women: The Journals of May Dodd,Jim Fergus,3.88,Historical Fiction,English,m
1777,Vampire Princess Rising,Jami Brumfield,4.31,Vampires,English,w
1802,Scars and Voices: And Other Stories,Adam Carpenter Welles,4.49,Book Club,,m
1824,The Mountain's Morning Song,William Graney,4.47,Book Club,English,m
1828,Steel Dogs,Matthew Bracey,4.31,Drama,,m
1840,The Hour I First Believed,Wally Lamb,3.82,Fiction,English,m
1843,Frankie the Ferret,Kimberley Paterson,4.32,Fiction,English,w
1858,The Hundred Secret Senses,Amy Tan,3.99,Fiction,English,w
1872,In Farleigh Field,Rhys Bowen,3.95,Historical Fiction,English,m
1887,London,Edward Rutherfurd,4.06,Historical Fiction,English,m
1897,"Africa's Child (Dancing Soul Trilogy, #1)",Maria Nhambu,4.28,Epic,English,w
1898,Winter of the World,Ken Follett,4.34,Historical Fiction,English,m
1903,A Visit from the Goon Squad,Jennifer Egan,3.67,Fiction,English,w
1929,Change of Heart,Jodi Picoult,3.93,Fiction,English,w
1946,Hairspray and Lighter,J. Jupes,4.52,Contemporary,English,m
1961,Cane River,Lalita Tademy,4.06,Historical Fiction,English,w
2000,A Tale for the Time Being,Ruth Ozeki,4.02,Fiction,English,w
2006,The Beagle and the Hare,Kevin Moccia,4.38,Fiction,,m
2040,Life Song,Christine M. Knight,4.18,,,w
2066,The Ghost Moth (The Red Grouse Tales),Leslie Garland,4.3,Fiction,English,m
2068,The Well House,M.S. Matassa,4.37,Fiction,,m
2111,In and Out of Step,Christine M. Knight,4.02,Fiction,English,w
2113,Memories Of My Future,"Ammar Habib , Anil Sinha",4.31,Historical Fiction,English,m;m
2153,Little Bee,Chris Cleave,3.72,Fiction,English,m
2155,The Last Kingdom,Bernard Cornwell,4.25,Historical Fiction,English,m
2182,Complicated Moonlight,Lynessa Layne,4.79,,English,m
2184,Lincoln,Gore Vidal,4.22,Historical Fiction,English,m
2209,Savvy Sage Online,Richard Sprout,4.31,Drama,English,m
2217,Ramonst,A.F. Knott,4.5,Novels,English,m
2221,Beartown,Fredrik Backman,4.25,Fiction,English,m
2232,Betrayal of Justice,Mark M. Bello,4.32,Drama,English,m
2259,The Ways of Autumn,William Graney,4.35,Epic,English,m
2264,Burial Rites,Hannah Kent,4.01,Historical Fiction,English,w
2265,The Orphan Master's Son,Adam Johnson,4.06,Fiction,English,m
2266,The Well House III: The Redemption,M.S. Matassa,4.4,Contemporary,English,m
2271,To Dream the Blackbane,Richard J. O'Brien,4.54,Contemporary,English,m
2272,Song Bird: Matters of the Heart,Christine M. Knight,4.55,,English,w
2283,Plain Truth,Jodi Picoult,3.98,Fiction,English,w
2294,The Feast of the Goat,Mario Vargas Llosa,4.29,Fiction,English,m
2303,"Dancing with The Field: Bringing Joy, Passion and Play into Everyday Life",Kris Kelkar,4.37,Epic,English,m
2305,Fierce Invalids Home from Hot Climates,Tom Robbins,4.03,Fiction,English,m
2307,Unaccustomed Earth,Jhumpa Lahiri,4.11,Fiction,English,m
2328,The Bonesetter's Daughter,Amy Tan,3.98,Fiction,English,w
2338,Olive Kitteridge,Elizabeth Strout,3.83,Fiction,English,w
2343,"Everything Is Always Gonna Be Alright, Durban Frankenshooze",Jamie McHone,4.36,Epic,English,m
2361,The Luminaries,Eleanor Catton,3.73,Fiction,English,w
2364,The Sound of Suffering,Darin C. Brown,4.26,Book Club,English,w
2368,Diya aur baati hum,Snehlata Agarwala,4.8,,,w
2386,Narcopolis,Jeet Thayil,3.37,Fiction,English,m
2402,The Message for the Last Days,K.J. Soze,4.3,Contemporary,English,m
2425,Everything I Never Told You,Celeste Ng,3.86,Fiction,English,w
2435,The Red Hand,Michael Stephen Daigle,4.33,Contemporary,English,m
2438,The Fan Man,William Kotzwinkle,4.06,Fiction,English,m
2453,The Tortilla Curtain,T. Coraghessan Boyle,3.66,Fiction,English,m
2455,March,Geraldine Brooks,3.75,Historical Fiction,English,w
2477,Shanghai Girls,Lisa See,3.9,Historical Fiction,English,w
2480,Dreams of Winter,Christian Warren Freed,4.39,Contemporary,English,m
2488,100 Bible Facts About Jesus: The Exciting way to Learn,Ginger Baum,4.96,,,w
2512,100 Fun Bible Facts: The Exciting way to Learn (100 Bible Facts Book 1),Ginger Baum,4.97,,,w
2526,Jubal's Field Trip To Heaven: Jubal and Chanan Enter Through the Narrow Gate (Jubal's Divine Adventures #1),Ginger Baum,4.97,,English,w
2540,Betrayal of Faith,Mark M. Bello,4.36,Contemporary,,m
2551,Tiger and the Robot (Chandler Gray #1),Grahame Shannon,4.32,Novels,English,m
2564,The Thousand Autumns of Jacob de Zoet,David Mitchell,4.01,Fiction,English,m
2570,"Why They Stay: Sex Scandals, Deals, and Hidden Agendas of Nine Political Wives",Anne Michaud,4.4,Fiction,English,w
2577,The Known World,Edward P. Jones,3.83,Historical Fiction,English,m
2581,Primed For Revenge,Carolyn M. Bowen,4.25,Novels,English,w
2587,Snuff,Chuck Palahniuk,3.2,Fiction,English,m
2588,The Largesse of the Sea Maiden,Denis Johnson,3.79,Short Stories,English,m
2603,Syrian Brides,Anna Halabi,4.17,Short Stories,English,w
2604,The Day Jesus Rode Into Croydon,Kirk St Moritz,3.47,Fiction,English,m
2631,Beneath a Scarlet Sky,Mark T. Sullivan,4.4,Historical Fiction,English,m
2650,The Dovekeepers,Alice Hoffman,4.04,Historical Fiction,English,w
2654,The First Man in Rome,Colleen McCullough,4.09,Historical Fiction,English,w
2666,The Invention of Wings,Sue Monk Kidd,4.24,Historical Fiction,English,w
2696,Dueling Fates,Stephanie M. Allen,4.32,,,w
2710,Slow Brewing Tea,Randy Loubier,4.32,Fiction,,m
2716,A Constellation of Vital Phenomena,Anthony Marra,4.1,Fiction,English,m
2733,Mystical Trash,Mary Ramsey,4.44,Contemporary,,m
2770,"Where'd You Go, Bernadette",Maria Semple,3.89,Fiction,English,w
2783,The Samurai's Garden,Gail Tsukiyama,4.13,Historical Fiction,English,m
2787,The Well House II: The Revenge,M.S. Matassa,4.37,Fiction,,m
2794,The Devil's Deceptions: Is There Life After Death?,Ginger Baum,4.98,,,w
2809,Batman: The Long Halloween,Jeph Loeb,4.32,Comics,English,m
2814,The Kindly Ones,Jonathan Littell,4.08,Fiction,English,m
2841,Breathing Lessons,Anne Tyler,3.67,Fiction,English,w
2845,The Art of Fielding,Chad Harbach,3.99,Fiction,English,m
2855,Out Stealing Horses,Per Petterson,3.81,Fiction,English,m
2874,Motherless Brooklyn,Jonathan Lethem,3.88,Fiction,English,m
2880,Plainsong,Kent Haruf,4.01,Fiction,English,m
2902,Matterhorn,Karl Marlantes,4.26,Fiction,English,m
2911,The Rising,C.M. Meridian,3.55,Werewolves,English,m
2916,The Rings of Saturn,W.G. Sebald,4.25,Fiction,English,m
2954,A Soldier of the Great War,Mark Helprin,4.35,Fiction,English,m
2958,SSN Seadragon: The Crucible of Leviathan,J.P. Ronald,4.22,Contemporary,,m
2989,Betrayal In Black,Mark M. Bello,4.38,Novels,English,m
3009,And Come Day's End: A Michael McKaybees Mystery,Gabriel F.W. Koch,4.3,,,m
3023,Treacherous Estate,Behcet Kaya,4.32,,English,m
3025,Betrayal High,Mark M. Bello,4.34,Fiction,English,m
3037,The Reluctant Fundamentalist,Mohsin Hamid,3.72,Fiction,English,m
3059,Three Day Road,Joseph Boyden,4.3,Historical Fiction,English,m
3075,Kurintor Nyusi: Diverse Epic Fantasy,Aaron-Michael Hall,4.39,Contemporary,,m
3114,The Christmas Sweater,Glenn Beck,3.8,Christmas,English,m
3138,Stepping Beyond Intention,Daniel Mangena,4.37,Epic,,m
3149,Those Who Save Us,Jenna Blum,4.13,Historical Fiction,English,w
3163,A Woman to Blame,Vincent Panettiere,4.4,Fiction,,m
3164,The Place That Gave,Emem Uko,4.37,Novels,English,m
3167,On Beauty,Zadie Smith,3.74,Fiction,English,m
3170,The Crazy Life of a Kid from Brooklyn,Bill Morgenstein,4.37,Drama,,m
3178,Homegoing,Yaa Gyasi,4.44,Historical Fiction,English,m
3188,This is Where I Leave You,Jonathan Tropper,3.88,Fiction,English,m
3192,Please Look After Mom,Shin Kyung-sook,3.83,Fiction,English,m
3224,Calico Jack in your Garden,Karl Wiggins,4.2,Humor,English,m
3253,Passionate Intention,"Belinda Vale , Felix Foreman",4.46,Fiction,English,w;m
3270,Five Quarters of the Orange,Joanne Harris,3.86,Fiction,English,w
3275,Bring Up the Bodies,Hilary Mantel,4.27,Historical Fiction,English,w
3280,The First Phone Call from Heaven,Mitch Albom,3.75,Fiction,English,m
3285,Happy Halloween,Othen Donald Dale Cummings,4.7,,,m
3286,The Little Friend,Donna Tartt,3.47,Fiction,English,w
3301,Mason & Dixon,Thomas Pynchon,4.08,Fiction,English,m
3307,Vanishing Acts,Jodi Picoult,3.7,Fiction,English,w
3330,Curse of The Salute,Anastacia Moore,4.06,,English,m
3334,The Beech Tree,Don Phelan,4.06,Fiction,English,m
3359,The Koalemos Initiative,P.H. Wilson,3.82,,English,m
3378,State of Wonder,Ann Patchett,3.88,Fiction,English,w
3413,"I, the Sun",Janet E. Morris,4.23,Historical Fiction,English,w
3428,The Signature of All Things,Elizabeth Gilbert,3.84,Fiction,English,w
3454,The Sisters Brothers,Patrick deWitt,3.84,Fiction,English,m
3468,New York,Edward Rutherfurd,4.13,Historical Fiction,English,m
3490,Until I Find You,John Irving,3.64,Fiction,English,m
3510,Fire of the Covenant: The Story of the Willie and Martin Handcart Companies,Gerald N. Lund,4.55,Historical Fiction,English,m
3541,Betrayal In Blue,Mark M. Bello,4.32,Contemporary,,m
3580,Vernon God Little,D.B.C. Pierre,3.6,Fiction,English,m
3595,ثلة من أسماء الإجرام,حسام السعيد عامر,3.61,,Arabic,m
3596,Big Money: A Global Financial Thriller (Financial Conspiracy Series Book 1),James Hudson,4.35,,English,m
3597,"Against the Grain: A Coach's Wisdom on Character, Faith, Family, and Love",Bill Courtney,4.25,Sports,English,m
3599,Manifesto of the Free People's Union,Jakub Lasak,4.35,,English,m
3602,Saving Fish from Drowning,Amy Tan,3.44,Fiction,English,w
3611,The Lacuna,Barbara Kingsolver,3.79,Fiction,English,w
3621,Paddy Clarke Ha Ha Ha,Roddy Doyle,3.76,Fiction,French,m
3701,ثقوب في الثوب الأسود,إحسان عبد القدوس,3.96,Fiction,Arabic,m
3710,It's a Storm Without God... It's the Perfect Journey When You Know the Name of Jesus Is Guaranteed!!!: My Life Testimony: There's No Excuse to Not Be Who You Want to Be... God's So Great!!!,Larry Taylor,4.4,Novels,,m
3717,Miscellaneous Stuff & Stuff,Jim Henry,3.59,,,m
3728,The Lowland,Jhumpa Lahiri,3.85,Fiction,English,m
3732,The Moor's Last Sigh,Salman Rushdie,3.93,Fiction,English,m
3743,The Mitford Years Boxed Set Volumes 1-6,Jan Karon,4.36,Fiction,English,m
3755,The Brooklyn Follies,Paul Auster,3.84,Fiction,English,m
3761,Night of the Rat,Tanya Thompson,4.33,Fiction,,w
3764,Train Dreams,Denis Johnson,3.84,Fiction,English,m
3777,Behind the Scenes at the Museum,Kate Atkinson,3.96,Fiction,English,w
3811,Secret Daughter,Shilpi Somaya Gowda,3.98,Fiction,English,m
3831,Tooth for Tooth,J.K. Franko,4.49,Novels,English,m
3850,A Long Way Down,Nick Hornby,3.43,Fiction,English,m
3863,Saturday,Ian McEwan,3.63,Fiction,English,m
3864,Small Island,Andrea Levy,3.97,Fiction,English,w
3876,The Bastard of Istanbul,Elif Shafak,3.84,Fiction,English,w
3897,Rules of Civility,Amor Towles,4.04,Fiction,English,w
3904,Black Ice,Stephen Tesher,4.42,Contemporary,English,m
3943,Avaland,Amy Croucher Rose,4.58,,English,w
3945,Stupeur et tremblements,Amélie Nothomb,3.73,Fiction,French,w
3965,Full Moon Saturday Night,Mark Barkawitz,4.32,Epic,English,m
3989,Gris Ange 2014,Lucio Agustine Rosenkreutz Crăciunescu,5.0,,"French, Middle (ca.1400-1600)",m
3990,The Overstory,Richard Powers,4.13,Fiction,English,m
4000,Coeur pourri de laine (DF),Lucio Agustine Rosenkreutz Crăciunescu,4.8,,French,m
4005,From Brexit to Brazil,John Richard Spencer,4.29,Contemporary,English,m
4017,The Last Sin Eater,Francine Rivers,4.1,Christian Fiction,English,w
4029,"Past, Present, and Promises","Patricia H. Graham , Verna C. Humphrey",4.02,Fiction,English,w;w
4032,U-10,Sam B. Miller II,4.34,Epic,English,m
4039,Handle with Care,Jodi Picoult,3.98,Fiction,English,w
4047,Drowning Ruth,Christina Schwarz,3.74,Fiction,English,w
4082,What I Loved,Siri Hustvedt,4.06,Fiction,English,w
4103,Public Information,Rolf Margenau,4.16,Adventure,English,m
4204,No One Belongs Here More Than You,Miranda July,3.82,Short Stories,English,w
4313,Sarum: The Novel of England,Edward Rutherfurd,4.07,Historical Fiction,English,m
4315,Shame,Salman Rushdie,3.83,Fiction,English,m
4327,Lies a River Deep,Vera Jane Cook,4.43,Fiction,English,w
4332,Regeneration,Pat Barker,4.03,Historical Fiction,English,m
4337,Annabel Horton And The Black Witch of Pau (Book Two),Olivia Hardy Ray,4.4,Novels,English,w
4352,Laços fortes e decisões difíceis,Graça Jacinto,4.71,,Portuguese,w
4354,"My Death Experiences - A Preacher’s 18 Apocalyptic Encounter with Death, Heaven & Hell.",Zion Odum,4.62,,English,m
4355,بعثة بدوي,تركي العواد,3.26,Fiction,Arabic,m
4359,Angles - Part I,Erin Lockwood,4.42,,English,m
4397,Dakota Son,Mary Ramsey,4.43,Contemporary,English,m
4405,Obscured Darkness (Family Secrets #2),Rebekah McClew,5.0,,English,w
4407,Perfect Match,Jodi Picoult,3.95,Fiction,English,w
4411,The Change,C.M. Meridian,4.29,,English,m
4412,The Illustrated Vivian Stanshall: A Fairytale of Grimm Art,Ki Longfellow,4.93,Art,English,m
4414,Fugitive Pieces,Anne Michaels,3.94,Fiction,English,w
4420,"Family Secrets: Secrets of the Night, #1",Rebekah McClew,4.82,,English,w
4436,MARS,Jasmine Rose,4.38,,English,w
4439,The Years Distilled: Verses,Dennis Sharpe,4.81,,English,m
4447,Mortal,Rebekah McClew,4.77,,English,w
4459,The Sea,John Banville,3.52,Fiction,English,m
4475,Samantha's Revenge,Andrew R. Williams,4.37,Contemporary,,m
4479,The Night Watch,Sarah Waters,3.69,Historical Fiction,English,w
4488,The Assiduous Quest of Tobias Hopkins: Part Three: The Dutchman,James Faro,4.0,,English,m
4502,Armée des ombres (DF),Lucio Agustine Rosenkreutz Crăciunescu,4.77,,French,m
4504,In the Skin of a Lion,Michael Ondaatje,3.87,Fiction,,m
4524,The Code: The Assiduous Quest of Tobias Hopkins - Part Two,James Faro,4.73,,English,m
4529,The Travelling Cat Chronicles,Hiro Arikawa,4.29,Fiction,English,m
4534,Métaphysique des tubes,Amélie Nothomb,3.89,Fiction,French,w
4538,Homecoming: The Assiduous Quest of Tobias Hopkins - Part One,James Faro,4.57,Adventure,English,m
4569,Pigs in Heaven,Barbara Kingsolver,3.97,Fiction,English,w
4570,Three Junes,Julia Glass,3.57,Fiction,English,w
4586,Tenth of December,George Saunders,3.96,Short Stories,English,m
4602,The Ragged Edge of Night,Olivia Hawker,4.13,Historical Fiction,English,w
4620,What You Are Not Being Told about Vaccines: The Year of Truth 2019,Sharon Storm,4.9,,,w
4644,Min kamp 1,Karl Ove Knausgård,4.08,Fiction,Norwegian,m
4645,Cancer: It can be a lonely journey,Ron Millicent,4.35,Novels,English,m
4662,Platform,Michel Houellebecq,3.8,Fiction,English,m
4674,No Great Mischief,Alistair MacLeod,4.02,Fiction,English,m
4682,Brief Interviews with Hideous Men,David Foster Wallace,3.86,Short Stories,English,m
4706,Dyed Souls,Gary Santorella,4.25,Epic,English,m
4732,When Crickets Cry,Charles Martin,4.28,Fiction,English,m
4737,An Object of Beauty,Steve Martin,3.72,Fiction,English,m
4745,The Round House,Louise Erdrich,3.94,Fiction,English,w
4746,The Zombie Wizards of Ala-ka,Linda Armstrong,4.31,Epic,English,w
4806,The Dark Web Murders,Brian O'Hare,4.32,Contemporary,English,m
4818,Eureka Street,Robert McLiam Wilson,4.18,Fiction,English,m
4851,Water Music,T. Coraghessan Boyle,4.18,Fiction,English,m
4877,Innocent Traitor,Alison Weir,3.95,Historical Fiction,English,w
4893,"Layman's Handbook, A journey to SELF",Aidan McNally,4.37,Epic,English,m
4894,King of Wands (Kings of the Tarot Book 2),Anna Durbin,4.31,,,w
4926,"Slide, a Modern Satire on the Excess of Greed",Saira Viola,4.31,Contemporary,English,m
4930,"Take a Deep Breath - 21 Top Tips for Relaxed, Rewarding and Healthy Life for Stressed Wage Earners",Michal Siwiec,4.0,,English,m
4931,As the Matzo Ball Turns,Jozef Rothstein,4.48,,English,m
4932,The Mystery of Revenge,G.X. Chen,4.15,Mystery,English,m
4940,The Infinite Jeff: A Parable of Change (Part 1),Will Holcomb,4.65,Spirituality,English,m
4942,"The Removable Root Cause of Cancers and other Chronic Diseases : The Effort Theory of Evolution, Chronic Diseases and Extinction",Paul Ola,4.67,,,m
4947,The Millennial Reincarnations,Daniel M. Harrison,3.79,Novels,English,m
4948,Asyri: The Wrath of the Fire Stone,Robyn Ellington-Jones,4.33,,English,w
4949,Ordinary Grace,William Kent Krueger,4.2,Fiction,English,m
4953,1/4 جرام,Essam Youssef,4.01,Novels,Arabic,m
4956,The Real Book of the Dead,Collette Sinclaire,4.21,,English,w
4968,The Golden Scallop,R.L. Douglas,4.67,,English,m
4972,Evolution of Insanity,Haresh Daswani,4.29,Psychology,English,m
4989,This Thing of Darkness,Harry Thompson,4.5,Historical Fiction,English,m
4997,Little Children,Tom Perrotta,3.63,Fiction,English,m
5001,Not Open: Win the Invisible Spiritual Culture War,"Lisa Cherry , Lucas Cherry",4.29,Christianity,,w;m
5003,First Light,R.L. Douglas,4.5,,English,m
5007,The Almond Tree,Michelle Cohen Corasanti,4.12,Historical Fiction,English,w
5016,The Line of Beauty,Alan Hollinghurst,3.74,Fiction,English,m
5026,The Falls,Joyce Carol Oates,3.58,Fiction,English,w
5050,Messages From Heaven,Collette Sinclaire,4.23,,English,w
5052,The Woman Who Walked Into Doors,Roddy Doyle,3.84,Fiction,English,m
5060,حائر بين الحلال والحرام,إحسان عبد القدوس,3.56,Short Stories,Arabic,m
5068,The Scribbler Guardian,Lucian Bane,4.24,,English,m
5074,Leo Africanus,Amin Maalouf,4.19,Historical Fiction,English,m
5079,An Irish Country Doctor,Patrick Taylor,3.88,Fiction,English,m
5086,The Rice Mother,Rani Manicka,4.13,Historical Fiction,English,w
5088,Family Matters,Rohinton Mistry,4.02,Fiction,English,m
5089,Gray Hawk of Terrapin,Moss Whelan,4.37,,English,m
5118,Rosto Inacabado (Pequenos segredos alquímicos) (PT) (2013),Lucio Agustine Rosenkreutz Crăciunescu,5.0,,Portuguese,m
5138,Dom Wars: Round Six,Lucian Bane,4.21,,English,m
5152,The Dress Lodger,Sheri Holman,3.57,Historical Fiction,English,w
5154,99 francs,Frédéric Beigbeder,3.57,Fiction,French,m
5162,Elliptical door (A multifaceted overview) (US) (2013),Lucio Agustine Rosenkreutz Crăciunescu,5.0,,English,m
5165,"Dom Wars: Round 4, 5, 6",Lucian Bane,4.27,,English,m
5172,What You Are Not Being Told About Vaccines: Find out now Before its too Late... Welcome to the Year of Truth 2019 (What You Are Not Being Told About Vacines #1),Sharon Storm,4.86,,English,w
5188,55 Celebrities With Anxiety: The Secret Weapon Cure That Is Being Concealed,Sharon Storm,4.97,,,w
5193,The Genius Mind of an Anti-Vaxxer: Truth Unleashed,Sharon Storm,4.95,,,w
5250,Slammerkin,Emma Donoghue,3.72,Historical Fiction,English,w
5266,The Quincunx,Charles Palliser,4.08,Historical Fiction,English,m
5281,Dreams of Joy,Lisa See,4.08,Historical Fiction,English,w
5288,How to Be Good,Nick Hornby,3.22,Fiction,,m
5297,Honor,Elif Shafak,4.06,Fiction,English,w
5318,Thirteen Moons,Charles Frazier,3.7,Historical Fiction,English,m
5325,Puhdistus,Sofi Oksanen,3.89,Fiction,Finnish,w
5333,Britt-Marie Was Here,Fredrik Backman,4.06,Fiction,English,m
5359,Microserfs,Douglas Coupland,3.88,Fiction,English,m
5376,Slingshot: Building the largest machine in human history,Robert G. Williscroft,4.38,Fiction,English,m
5411,A Spark of Light,Jodi Picoult,3.7,Fiction,English,w
5444,Black and Blue,Anna Quindlen,3.89,Fiction,English,w
5471,The Uncommon Reader,Alan Bennett,3.79,Fiction,English,m
5494,The Hummingbird's Daughter,Luis Alberto Urrea,4.19,Historical Fiction,English,m
5540,Before Women Had Wings,Connie May Fowler,4.03,Fiction,English,m
5571,Pack's Posse (Simon Pack Book 8),John M. Vermillion,4.33,Epic,,m
5572,In Our Bones,Pernell Plath Meier,4.3,Fiction,English,m
5586,The Passion of Artemisia,Susan Vreeland,3.88,Historical Fiction,English,w
5614,Left Neglected,Lisa Genova,3.97,Fiction,English,w
5641,We Were the Lucky Ones,Georgia Hunter,4.38,Historical Fiction,English,w
5665,Enjambre Sutil,Jose Dellepiane,4.69,,Spanish,m
