,title,author,rating,genres,language,gender
101,The Red Tent,Anita Diamant,4.18,Historical Fiction,English,w
214,The Secret Magdalene,Ki Longfellow,4.07,Historical Fiction,English,m
240,She's Come Undone,Wally Lamb,3.88,Fiction,English,m
277,I Know This Much Is True,Wally Lamb,4.19,Fiction,English,m
309,زندگی مه آلود پریا,سید مرتضی مصطفوی,3.92,Fiction,Persian,m
341,The Art of Racing in the Rain,Garth Stein,4.21,Fiction,English,m
369,انتحار فاشل,أحمد جمال الدين رمضان,4.51,Short Stories,Arabic,m
376,The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,Fiction,English,m
378,العصبي,أحمد جمال الدين رمضان,4.52,Short Stories,Arabic,m
411,A Fine Balance,Rohinton Mistry,4.35,Fiction,English,m
426,Snow Flower and the Secret Fan,Lisa See,4.08,Historical Fiction,English,w
467,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.83,Fiction,English,w
470,Everything Is Illuminated,Jonathan Safran Foer,3.9,Fiction,English,m
539,Sarah's Key,Tatiana de Rosnay,4.16,Historical Fiction,English,w
560,Cutting for Stone,Abraham Verghese,4.29,Fiction,English,m
591,Interpreter of Maladies,Jhumpa Lahiri,4.15,Short Stories,English,m
600,Peace Like a River,Leif Enger,4.0,Fiction,English,m
619,The Memory Keeper's Daughter,Kim Edwards,3.67,Fiction,English,m
645,House of Sand and Fog,Andre Dubus III,3.85,Fiction,,m
667,A Heartbreaking Work of Staggering Genius,Dave Eggers,3.69,Fiction,English,m
673,Prodigal Summer,Barbara Kingsolver,4.0,Fiction,English,w
676,Matching Configurations: QUANTUM ROOTS III,Kyle Keyes,4.39,Contemporary,English,m
695,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,3.79,Mystery,English,m
718,The Corrections,Jonathan Franzen,3.8,Fiction,English,m
745,The Namesake,Jhumpa Lahiri,4.0,Fiction,English,m
761,Still Alice,Lisa Genova,4.32,Fiction,English,w
763,Choke,Chuck Palahniuk,3.7,Fiction,English,m
815,A Million Little Pieces,James Frey,3.65,Fiction,English,m
843,The Story of Edgar Sawtelle,David Wroblewski,3.62,Fiction,English,m
868,Beach Music,Pat Conroy,4.16,Fiction,English,m
892,The Brief Wondrous Life of Oscar Wao,Junot Díaz,3.9,Fiction,English,m
932,"Love is the Answer, God is the Cure: A True Story of Abuse, Betrayal and Unconditional Love",Aimee Cabo Nikolov,4.32,Contemporary,English,w
954,Crossroads and the Himalayan Crystals,C. Toni Graham,4.32,Contemporary,,m
964,Unblinded: One Man’s Courageous Journey through Darkness to Sight,"Traci Medford-Rosow , Kevin Coughlin",4.33,Drama,,w;m
972,The Kitchen God's Wife,Amy Tan,4.0,Fiction,English,w
1021,Fall on Your Knees,Ann-Marie MacDonald,3.96,Fiction,English,m
1032,Stones from the River,Ursula Hegi,4.09,Fiction,English,w
1034,"More Than Love, A Husband's Tale",Peter B. Forster,4.31,Drama,English,m
1044,"Dodging Satan: My Irish/Italian, Sometimes Awesome, But Mostly Creepy, Childhood",Kathleen Zamboni McCormick,4.31,Drama,English,w
