title,author,gender
The Hunger Games,Suzanne Collins,w
Twilight,Stephenie Meyer,m
The Chronicles of Narnia,C.S. Lewis,m
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,m
Gone with the Wind,Margaret Mitchell,w
The Hitchhiker's Guide to the Galaxy,Douglas Adams,m
The Giving Tree,Shel Silverstein,m
Wuthering Heights,Emily Brontë,w
The Da Vinci Code,Dan Brown,m
Memoirs of a Geisha,Arthur Golden,m
The Picture of Dorian Gray,Oscar Wilde,m
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,m
Jane Eyre,Charlotte Brontë,w
Les Misérables,Victor Hugo,m
Lord of the Flies,William Golding,m
Romeo and Juliet,William Shakespeare,m
Crime and Punishment,Fyodor Dostoyevsky,m
Ender's Game,Orson Scott Card,m
The Help,Kathryn Stockett,w
Anne of Green Gables,L.M. Montgomery,m
Harry Potter and the Sorcerer's Stone,J.K. Rowling,m
Charlotte's Web,E.B. White,m
Of Mice and Men,John Steinbeck,m
The Time Traveler's Wife,Audrey Niffenegger,w
Dracula,Bram Stoker,m
The Princess Bride,William Goldman,m
The Lightning Thief,Rick Riordan,m
The Secret Garden,Frances Hodgson Burnett,w
A Wrinkle in Time,Madeleine L'Engle,w
The Adventures of Huckleberry Finn,Mark Twain,m
The Lovely Bones,Alice Sebold,w
The Outsiders,S.E. Hinton,m
Where the Wild Things Are,Maurice Sendak,m
Green Eggs and Ham,Dr. Seuss,m
The Odyssey,Homer,m
A Tale of Two Cities,Charles Dickens,m
Water for Elephants,Sara Gruen,w
Lolita,Vladimir Nabokov,m
Slaughterhouse-Five,Kurt Vonnegut Jr.,m
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,m
The Giver,Lois Lowry,w
Catch-22,Joseph Heller,m
The Pillars of the Earth,Ken Follett,m
The Stand,Stephen King,m
The Adventures of Sherlock Holmes,Arthur Conan Doyle,m
Watership Down,Richard Adams,m
Great Expectations,Charles Dickens,m
The Bell Jar,Sylvia Plath,w
Harry Potter and the Deathly Hallows,J.K. Rowling,m
Anna Karenina,"Leo Tolstoy, Lev Tolstoi",m;m
My Sister's Keeper,Jodi Picoult,w
Matilda,Roald Dahl,m
The Fellowship of the Ring,J.R.R. Tolkien,m
The Girl with the Dragon Tattoo,Stieg Larsson,m
Rebecca,Daphne du Maurier,w
1984,George Orwell,m
The Color Purple,Alice Walker,w
A Tree Grows in Brooklyn,Betty Smith,w
The Road,Cormac McCarthy,m
The Brothers Karamazov,"Fyodor Dostoyevsky, Fyodor Dostoyevsky",m;m
Angela's Ashes,Frank McCourt,m
Vampire Academy,Richelle Mead,w
Siddhartha,Hermann Hesse,m
The Poisonwood Bible,Barbara Kingsolver,w
The Golden Compass,Philip Pullman,m
The Notebook,Nicholas Sparks,m
Winnie-the-Pooh,A.A. Milne,m
The Complete Stories and Poems,Edgar Allan Poe,m
Interview with the Vampire,Anne Rice,w
A Prayer for Owen Meany,John Irving,m
"Moby-Dick or, the Whale",Herman Melville,m
The Red Tent,Anita Diamant,w
The Secret Life of Bees,Sue Monk Kidd,w
Clockwork Angel,Cassandra Clare,w
Harry Potter and the Half-Blood Prince,J.K. Rowling,m
And Then There Were None,Agatha Christie,w
Middlesex,Jeffrey Eugenides,m
The Name of the Wind,Patrick Rothfuss,m
Eragon,Christopher Paolini,m
Flowers for Algernon,Daniel Keyes,m
On the Road,Jack Kerouac,m
The Metamorphosis,Franz Kafka,m
The Curious Incident of the Dog in the Night-Time,Mark Haddon,m
The Very Hungry Caterpillar,Eric Carle,m
Tuesdays with Morrie,Mitch Albom,m
Where the Red Fern Grows,Wilson Rawls,m
The Godfather,Mario Puzo,m
The Scarlet Letter,Nathaniel Hawthorne,m
In Cold Blood,Truman Capote,m
Fight Club,Chuck Palahniuk,m
The Five People You Meet in Heaven,Mitch Albom,m
"Hush, Hush",Becca Fitzpatrick,w
The Cat in the Hat,Dr. Seuss,m
American Gods,Neil Gaiman,m
The Count of Monte Cristo,Alexandre Dumas,m
Lonesome Dove,Larry McMurtry,m
Perfume: The Story of a Murderer,Patrick Süskind,m
Holes,Louis Sachar,m
"The Lion, the Witch and the Wardrobe",C.S. Lewis,m
Watchmen,Alan Moore,m
The Last Olympian,Rick Riordan,m
The Little House Collection,Laura Ingalls Wilder,w
The Divine Comedy,Dante Alighieri,m
Peter Pan,J.M. Barrie,m
All Quiet on the Western Front,Erich Maria Remarque,m
"The Hobbit, or There and Back Again",J.R.R. Tolkien,m
The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company,m
Love in the Time of Cholera,Gabriel García Márquez,m
Shadow Kiss,Richelle Mead,w
A Walk to Remember,Nicholas Sparks,m
How the Grinch Stole Christmas!,Dr. Seuss,m
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,m
Atonement,Ian McEwan,m
The Importance of Being Earnest,Oscar Wilde,m
"Eat, Pray, Love",Elizabeth Gilbert,w
Their Eyes Were Watching God,Zora Neale Hurston,w
The Three Musketeers,Alexandre Dumas,m
The Wonderful Wizard of Oz,L. Frank Baum,m
Frostbite,Richelle Mead,w
Goodnight Moon,Margaret Wise Brown,w
The Lorax,Dr. Seuss,m
Blood Promise,Richelle Mead,w
Tess of the D'Urbervilles,Thomas Hardy,m
The Good Earth,Pearl S. Buck,w
Heart of Darkness,Joseph Conrad,m
The Battle of the Labyrinth,Rick Riordan,m
A Midsummer Night's Dream,William Shakespeare,m
Clockwork Princess,Cassandra Clare,w
The Prophet,Kahlil Gibran,m
