title,author,gender
The Mists of Avalon,Marion Zimmer Bradley,w
The Titan's Curse,Rick Riordan,m
The Sea of Monsters,Rick Riordan,m
The Joy Luck Club,Amy Tan,w
Alice in Wonderland,Jane Carruth (Adapted By),w
The Call of the Wild,Jack London,m
Jonathan Livingston Seagull,Richard Bach,m
Madame Bovary,Gustave Flaubert,m
The Phantom Tollbooth,Norton Juster,m
Bridge to Terabithia,Katherine Paterson,w
The Hunger Games Trilogy Boxset,Suzanne Collins,w
"Oh, the Places You'll Go!",Dr. Seuss,m
The Girl Who Played with Fire,Stieg Larsson,m
The Neverending Story,Michael Ende,m
Ulysses,James Joyce,m
Treasure Island,Robert Louis Stevenson,m
The Clan of the Cave Bear,Jean M. Auel,m
The Canterbury Tales,Geoffrey Chaucer,m
The World According to Garp,John Irving,m
A Farewell to Arms,Ernest Hemingway,m
David Copperfield,Charles Dickens,m
Tote Mädchen lügen nicht,Jay Asher,m
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,m
Shōgun,James Clavell,m
Extremely Loud & Incredibly Close,Jonathan Safran Foer,m
Murder on the Orient Express,Agatha Christie,w
His Dark Materials,Philip Pullman,m
A Little Princess,Frances Hodgson Burnett,w
The Other Boleyn Girl,Philippa Gregory,w
Schindler's List,Thomas Keneally,m
The Boy in the Striped Pajamas,John Boyne,m
Jurassic Park,Michael Crichton,m
Last Sacrifice,Richelle Mead,w
Fallen,Lauren Kate,m
The Silmarillion,J.R.R. Tolkien,m
The Secret Magdalene,Ki Longfellow,m
Beloved,Toni Morrison,m
The Trial,Franz Kafka,m
A Confederacy of Dunces,John Kennedy Toole,m
The Sun Also Rises,Ernest Hemingway,m
The Velveteen Rabbit,Margery Williams Bianco,w
Catching Fire,Suzanne Collins,w
The Lost Hero,Rick Riordan,m
Throne of Glass,Sarah J. Maas,w
Spirit Bound,Richelle Mead,w
Clockwork Prince,Cassandra Clare,w
The Iliad/The Odyssey,Homer,m
The Crucible,Arthur Miller,m
Cat's Cradle,Kurt Vonnegut Jr.,m
The God of Small Things,Arundhati Roy,m
The Wind in the Willows,Kenneth Grahame,m
The Screwtape Letters,C.S. Lewis,m
Girl with a Pearl Earring,Tracy Chevalier,m
A Light in the Attic,Shel Silverstein,m
The Silence of the Lambs,Thomas Harris,m
Shiver,Maggie Stiefvater,w
Uglies,Scott Westerfeld,m
City of Fallen Angels,Cassandra Clare,w
Man's Search for Meaning,Viktor E. Frankl,m
She's Come Undone,Wally Lamb,m
The Phantom of the Opera,Gaston Leroux,m
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,m
Ella Enchanted,Gail Carson Levine,m
The Wind-Up Bird Chronicle,Haruki Murakami,m
Cinder,Marissa Meyer,w
The Green Mile,Stephen King,m
The Sound and the Fury,William Faulkner,m
For Whom the Bell Tolls,Ernest Hemingway,m
Fear and Loathing in Las Vegas,Hunter S. Thompson,m
The House of the Spirits,Isabel Allende,w
The Complete Calvin and Hobbes,Bill Watterson,m
Roots: The Saga of an American Family,Alex Haley,m
Misery,Stephen King,m
Howl's Moving Castle,Diana Wynne Jones,w
Stranger in a Strange Land,Robert A. Heinlein,m
Island of the Blue Dolphins,Scott O'Dell,m
Midnight Sun [2008 Draft],Stephenie Meyer,m
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,m
The Secret History,Donna Tartt,w
White Oleander,Janet Fitch,w
The Diary of a Young Girl,Anne Frank,w
Delirium,Lauren Oliver,m
Beautiful Disaster,Jamie McGuire,m
Othello,William Shakespeare,m
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,m
The Vampire Lestat,Anne Rice,w
Speak,Laurie Halse Anderson,w
The Idiot,Fyodor Dostoyevsky,m
King Lear,William Shakespeare,m
The Once and Future King,T.H. White,m
I Know This Much Is True,Wally Lamb,m
Neverwhere,Neil Gaiman,m
Into the Wild,Jon Krakauer,m
Inkheart,Cornelia Funke,w
Uncle Tom's Cabin,Harriet Beecher Stowe,w
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,m
The Historian,Elizabeth Kostova,w
The Complete Sherlock Holmes,Arthur Conan Doyle,m
Candide,Voltaire,m
James and the Giant Peach,Roald Dahl,m
Invisible Man,Ralph Ellison,m
Blood River: A Journey to Africa's Broken Heart,Tim Butcher,m
Paradise Lost,John Milton,m
Leaves of Grass,Walt Whitman,m
All Creatures Great and Small,James Herriot,m
Graceling,Kristin Cashore,w
The Complete Works,William Shakespeare,m
The Thirteenth Tale,Diane Setterfield,w
Foundation,Isaac Asimov,m
The Things They Carried,Tim O'Brien,m
The Cider House Rules,John Irving,m
The Time Machine,H.G. Wells,m
Different Seasons,Stephen King,m
Kafka on the Shore,Haruki Murakami,m
Heidi,Johanna Spyri,w
"Are You There God? It's Me, Margaret",Judy Blume,w
City of Lost Souls,Cassandra Clare,w
Sophie's World,Jostein Gaarder,m
Walden,Henry David Thoreau,m
The Wise Man's Fear,Patrick Rothfuss,m
زندگی مه آلود پریا,سید مرتضی مصطفوی,m
Sophie's Choice,William Styron,m
The Prince of Tides,Pat Conroy,m
Never Let Me Go,Kazuo Ishiguro,m
The Son of Neptune,Rick Riordan,m
Dead Until Dark,Charlaine Harris,w
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,w
Middlemarch,George Eliot,m
The Monster at the End of this Book,Jon Stone,m
A Court of Mist and Fury,Sarah J. Maas,w
Things Fall Apart,Chinua Achebe,m
Mrs. Dalloway,Virginia Woolf,w
Mockingjay,Suzanne Collins,w
Franny and Zooey,J.D. Salinger,m
The Power of One,Bryce Courtenay,m
The Magician's Nephew,C.S. Lewis,m
Stardust,Neil Gaiman,m
A Time to Kill,John Grisham,m
The Gunslinger,Stephen King,m
Number the Stars,Lois Lowry,w
Do Androids Dream of Electric Sheep?,Philip K. Dick,m
A Short History of Nearly Everything,Bill Bryson,m
The Lord of the Rings,J.R.R. Tolkien,m
The Mark of Athena,Rick Riordan,m
The Art of Racing in the Rain,Garth Stein,m
The Way of Kings,Brandon Sanderson,m
Black Beauty,Anna Sewell,w
Legend,Marie Lu,w
The Hound of the Baskervilles,Arthur Conan Doyle,m
A Portrait of the Artist as a Young Man,"James Joyce, Hans Walter Gabler",m;m
Gulliver's Travels,Jonathan Swift,m
Bel Canto,Ann Patchett,w
American Psycho,Bret Easton Ellis,m
V for Vendetta,Alan Moore,m
Love You Forever,Robert Munsch,m
The Witches,Roald Dahl,m
القرآن الكريم,Anonymous,m
The Graveyard Book,Neil Gaiman,m
The Complete Novels,Jane Austen,w
Cold Mountain,Charles Frazier,m
White Fang,Jack London,m
Wonder,R.J. Palacio,m
Beowulf,Unknown,m
Tuck Everlasting,Natalie Babbitt,w
The Final Empire,Brandon Sanderson,m
Steppenwolf,Hermann Hesse,m
Eldest,Christopher Paolini,m
Dark Lover,J.R. Ward,m
انتحار فاشل,أحمد جمال الدين رمضان,m
The Eye of the World,Robert Jordan,m
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,m
As I Lay Dying,William Faulkner,m
A Separate Peace,John Knowles,m
The Complete Maus,Art Spiegelman,m
Mansfield Park,Jane Austen,w
The Amazing Adventures of Kavalier & Clay,Michael Chabon,m
Brisingr,Christopher Paolini,m
العصبي,أحمد جمال الدين رمضان,m
"A Child Called ""It""",Dave Pelzer,m
Stargirl,Jerry Spinelli,m
Tao Te Ching,Lao Tzu,m
Dear John,Nicholas Sparks,m
Midnight's Children,Salman Rushdie,m
Obsidian,Jennifer L. Armentrout,w
'Salem's Lot,Stephen King,m
The Martian Chronicles,Ray Bradbury,m
The English Patient,Michael Ondaatje,m
East of Eden,John Steinbeck,m
Cloud Atlas,David Mitchell,m
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,m
The Martian,Andy Weir,m
The Firm,John Grisham,m
The Last Song,Nicholas Sparks,m
My Ántonia,Willa Cather,w
Shatter Me,Tahereh Mafi,w
The Amber Spyglass,Philip Pullman,m
Doctor Zhivago,Boris Pasternak,m
The Hunchback of Notre-Dame,Victor Hugo,m
Robinson Crusoe,Daniel Defoe,m
Like Water for Chocolate,Laura Esquivel,w
Breakfast at Tiffany's and Three Stories,Truman Capote,m
Room,Emma Donoghue,w
Dragonfly in Amber,Diana Gabaldon,w
Breakfast of Champions,Kurt Vonnegut Jr.,m
The BFG,Roald Dahl,m
Harry Potter Series Box Set,J.K. Rowling,m
The Origin of Species,Charles Darwin,m
A Fine Balance,Rohinton Mistry,m
Daughter of Smoke & Bone,Laini Taylor,m
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,m
City of Heavenly Fire,Cassandra Clare,w
Evermore,Alyson Noel,w
The Subtle Knife,Philip Pullman,m
Death of a Salesman,Arthur Miller,m
11/22/63,Stephen King,m
Midnight in the Garden of Good and Evil,John Berendt,m
A Streetcar Named Desire,Tennessee Williams,m
Infinite Jest,David Foster Wallace,m
The Prince,Niccolò Machiavelli,m
Hamlet,William Shakespeare,m
"Faust, First Part",Johann Wolfgang von Goethe,m
Snow Flower and the Secret Fan,Lisa See,w
The Remains of the Day,Kazuo Ishiguro,m
Anna and the French Kiss,Stephanie Perkins,w
A Feast for Crows,George R.R. Martin,m
The Angel Experiment,James Patterson,m
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,m
Matched,Ally Condie,w
Flowers in the Attic,V.C. Andrews,m
The Shipping News,Annie Proulx,w
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,w
The Scarlet Pimpernel,Emmuska Orczy,m
Hopeless,Colleen Hoover,w
Jonathan Strange & Mr Norrell,Susanna Clarke,w
The Chosen,Chaim Potok,m
High Fidelity,Nick Hornby,m
"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,m
Houdini Heart,Ki Longfellow,m
Artemis Fowl,Eoin Colfer,m
Pippi Longstocking,Astrid Lindgren,w
The Tales of Beedle the Bard,J.K. Rowling,m
The Virgin Suicides,Jeffrey Eugenides,m
The Reader,Bernhard Schlink,m
Nineteen Minutes,Jodi Picoult,w
The House of Hades,Rick Riordan,m
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,m
Redeeming Love,Francine Rivers,w
The Age of Innocence,Edith Wharton,w
The Host,Stephenie Meyer,m
Neuromancer,William Gibson,m
Waiting for Godot,Samuel Beckett,m
The Grapes of Wrath,John Steinbeck,m
Northanger Abbey,Jane Austen,w
The Voyage of the Dawn Treader,C.S. Lewis,m
Dubliners,James Joyce,m
Lover Awakened,J.R. Ward,m
War and Peace,Leo Tolstoy,m
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,w
The Waste Land,T.S. Eliot,m
Everything Is Illuminated,Jonathan Safran Foer,m
Crown of Midnight,Sarah J. Maas,w
To the Lighthouse,Virginia Woolf,w
I Know Why the Caged Bird Sings,Maya Angelou,w
"I, Robot",Isaac Asimov,m
The Twilight Collection,Stephenie Meyer,m
The One,Kiera Cass,w
The Jungle,Upton Sinclair,m
Carrie,Stephen King,m
Snow Falling on Cedars,David Guterson,m
Voyager,Diana Gabaldon,w
"I, Claudius",Robert Graves,m
Heir of Fire,Sarah J. Maas,w
Me Talk Pretty One Day,David Sedaris,m
A Room with a View,E.M. Forster,m
Bleak House,Charles Dickens,m
The Republic,Plato,m
The Last Battle,C.S. Lewis,m
The Exorcist,William Peter Blatty,m
The Elephant Tree,R.D. Ronald,m
Coraline,Neil Gaiman,m
Demian: Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,m
The 5th Wave,Rick Yancey,m
The Iron King,Julie Kagawa,w
Quantum Roots II: Worm Holes,Kyle Keyes,m
The Arabian Nights,Anonymous,m
The Complete Poems of Emily Dickinson,Emily Dickinson,w
Torment,Lauren Kate,m
Bloodlines,Richelle Mead,w
Mistress Suffragette,Diana Forbes,w
Vanity Fair,William Makepeace Thackeray,m
Wizard's First Rule,Terry Goodkind,m
North and South,Elizabeth Gaskell,w
Brideshead Revisited,Evelyn Waugh,w
The God Delusion,Richard Dawkins,m
Pet Sematary,Stephen King,m
Of Human Bondage,W. Somerset Maugham,m
Snow Crash,Neal Stephenson,m
World War Z: An Oral History of the Zombie War,Max Brooks,m
A Great and Terrible Beauty,Libba Bray,m
Bared to You,Sylvia Day,w
The Witching Hour,Anne Rice,w
The War of the Worlds,H.G. Wells,m
The Summoning,Kelley Armstrong,m
"Cry, the Beloved Country",Alan Paton,m
Johnny Got His Gun,Dalton Trumbo,m
Chocolat,Joanne Harris,w
Halfway to the Grave,Jeaniene Frost,m
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson , David Oliver Relin",m;m
Perfect Chemistry,Simone Elkeles,w
City of Glass,Cassandra Clare,w
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,Cassandra Clare,w
The Woman in White,Wilkie Collins,m
Angels & Demons,Dan Brown,m
Just Listen,Sarah Dessen,w
2001: A Space Odyssey,Arthur C. Clarke,m
The Truth About Forever,Sarah Dessen,w
A Discovery of Witches,Deborah Harkness,w
Unwind,Neal Shusterman,m
Trainspotting,Irvine Welsh,m
Are You My Mother?,P.D. Eastman,m
Cannery Row,John Steinbeck,m
Much Ado About Nothing,William Shakespeare,m
Swann's Way,Marcel Proust,m
Sarah's Key,Tatiana de Rosnay,w
The Polar Express,Chris Van Allsburg,m
Acheron,Sherrilyn Kenyon,m
Lady Chatterley's Lover,D.H. Lawrence,m
The Elite,Kiera Cass,w
Ishmael,Daniel Quinn,m
Nine Stories,J.D. Salinger,m
The Unbecoming of Mara Dyer,Michelle Hodkin,w
The Return of the King,J.R.R. Tolkien,m
All the Bright Places,Jennifer Niven,w
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,m
Far From the Madding Crowd,Thomas Hardy,m
The Zombie Room,R.D. Ronald,m
Angelfall,Susan Ee,w
Dead to the World,Charlaine Harris,w
Persuasion,Jane Austen,w
The Bronze Horseman,Paullina Simons,m
You Are Special,Max Lucado,m
Sabriel,Garth Nix,m
Cutting for Stone,Abraham Verghese,m
Little House on the Prairie,Laura Ingalls Wilder,w
Being and Time,Martin Heidegger,m
The Goose Girl,Shannon Hale,m
I Capture the Castle,Dodie Smith,m
The Last Lecture,Randy Pausch,m
Ignite Me,Tahereh Mafi,w
The Glass Menagerie,Tennessee Williams,m
Twelfth Night,William Shakespeare,m
The Darkest Minds,Alexandra Bracken,w
Invisible Monsters,Chuck Palahniuk,m
The Hours,Michael Cunningham,m
Drums of Autumn,Diana Gabaldon,w
Wicked Lovely,Melissa Marr,w
P.S. I Love You,Cecelia Ahern,w
Queen of Shadows,Sarah J. Maas,w
World Without End,Ken Follett,m
A Christmas Carol,Charles Dickens,m
The Merchant of Venice,William Shakespeare,m
The Last Unicorn,Peter S. Beagle,m
Slammed,Colleen Hoover,w
Little House in the Big Woods,Laura Ingalls Wilder,w
Hyperion,Dan Simmons,m
No Country for Old Men,Cormac McCarthy,m
The Bean Trees,Barbara Kingsolver,w
The Raven Boys,Maggie Stiefvater,w
The Bad Beginning,Lemony Snicket,m
Cyrano de Bergerac,Edmond Rostand,m
Speaker for the Dead,Orson Scott Card,m
The Westing Game,Ellen Raskin,w
Interpreter of Maladies,Jhumpa Lahiri,m
The Red Pyramid,Rick Riordan,m
All the King's Men,Robert Penn Warren,m
Julius Caesar,"William Shakespeare, Roma Gill",m;w
"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose",Diamante Lavendar,w
Anne of Avonlea,L.M. Montgomery,m
Peace Like a River,Leif Enger,m
We Need to Talk About Kevin,Lionel Shriver,m
The Silver Chair,C.S. Lewis,m
The Wasp Factory,Iain Banks,m
The Art of War,Sun Tzu,m
Poison Study,Maria V. Snyder,w
Mythology,Edith Hamilton,w
The Two Towers,J.R.R. Tolkien,m
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,m
The Secret,Rhonda Byrne,w
The Queen of the Damned,Anne Rice,w
Left Behind,"Tim LaHaye, Jerry B. Jenkins",m;m
The Eyre Affair,Jasper Fforde,m
Inheritance,Christopher Paolini,m
The Talisman,"Stephen King , Peter Straub",m;m
Prince Caspian,C.S. Lewis,m
The Memory Keeper's Daughter,Kim Edwards,m
The Knife of Never Letting Go,Patrick Ness,m
Shadowfever,Karen Marie Moning,w
Native Son,Richard Wright,m
Seabiscuit: An American Legend,Laura Hillenbrand,w
The Blind Assassin,Margaret Atwood,w
The Killer Angels,Michael Shaara,m
The Scorch Trials,James Dashner,m
Darkfever,Karen Marie Moning,w
The History of Love,Nicole Krauss,w
If on a Winter's Night a Traveler,Italo Calvino,m
Sense and Sensibility,Jane Austen,w
Pretties,Scott Westerfeld,m
The Bourne Identity,Robert Ludlum,m
Possession,A.S. Byatt,m
Gravity's Rainbow,Thomas Pynchon,m
A People's History of the United States,Howard Zinn,m
I Am Legend and Other Stories,Richard Matheson,m
A Brief History of Time,Stephen Hawking,m
Oedipus Rex,Sophocles,m
Scarlet,Marissa Meyer,w
Alanna: The First Adventure,Tamora Pierce,m
House of Sand and Fog,Andre Dubus III,m
Watchers,Dean Koontz,m
John Adams,David McCullough,m
One for the Money,Janet Evanovich,w
A Wizard of Earthsea,Ursula K. Le Guin,w
Lover Unbound,J.R. Ward,m
Champion,Marie Lu,w
The Haunting of Hill House,Shirley Jackson,w
The Left Hand of Darkness,Ursula K. Le Guin,w
Assassin's Apprentice,Robin Hobb,m
I'll Give You the Sun,Jandy Nelson,m
1Q84,Haruki Murakami,m
The Night Before Christmas,Clement C. Moore,m
The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,w
The Magus,John Fowles,m
Oryx and Crake,Margaret Atwood,w
Cress,Marissa Meyer,w
A Breath of Snow and Ashes,Diana Gabaldon,w
Night Watch,Terry Pratchett,m
A Heartbreaking Work of Staggering Genius,Dave Eggers,m
Veronika Decides to Die,Paulo Coelho,m
Brainwalker,"Robyn Mundell , Stephan Lacast",w;m
The Lies of Locke Lamora,Scott Lynch,m
Jitterbug Perfume,Tom Robbins,m
Papillon,Henri Charrière,m
Prodigal Summer,Barbara Kingsolver,w
Corelli's Mandolin,Louis de Bernières,m
"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,w
Matching Configurations: QUANTUM ROOTS III,Kyle Keyes,m
The Fiery Cross,Diana Gabaldon,w
The Magic Mountain,Thomas Mann,m
The Sisterhood of the Traveling Pants,Ann Brashares,w
Howl and Other Poems,Allen Ginsberg,m
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,m
The Elegance of the Hedgehog,Muriel Barbery,w
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr. (Translator),m
The Sirens of Titan,Kurt Vonnegut Jr.,m
Cosmos,Carl Sagan,m
The Big Sleep,Raymond Chandler,m
Grimm's Fairy Tales,"Jacob Grimm, Wilhelm Grimm",m;m
Quantum Roots,Kyle Keyes,m
Message in a Bottle,Nicholas Sparks,m
Crooked Kingdom,Leigh Bardugo,m
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,m
Prodigy,Marie Lu,w
The Power of Myth,"Joseph Campbell, Bill Moyers",m;m
City of Ashes,Cassandra Clare,w
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,m
Love Story,Erich Segal,m
Glass Houses,Rachel Caine,w
Twenty Thousand Leagues Under the Sea,Jules Verne,m
Confessions of a Shopaholic,Sophie Kinsella,w
Lover Revealed,J.R. Ward,m
Odd Thomas,Dean Koontz,m
The Edge of Never,J.A. Redmerski,m
The Awakening: Fate in Motion,Suzanne Boisvert,w
Club Dead,Charlaine Harris,w
Ivanhoe,Walter Scott,m
Carry On,Rainbow Rowell,m
Princess Academy,Shannon Hale,m
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",m;m
Ender's Shadow,Orson Scott Card,m
The Aeneid,Virgil,m
Unravel Me,Tahereh Mafi,w
Emma,Jane Austen,w
Walk Two Moons,Sharon Creech,w
Angle of Repose,Wallace Stegner,m
Lover Avenged,J.R. Ward,m
The Shell Seekers,Rosamunde Pilcher,w
The Corrections,Jonathan Franzen,m
The Bluest Eye,Toni Morrison,m
Anthem,Ayn Rand,w
The Witch of Blackbird Pond,Elizabeth George Speare,w
Living Dead in Dallas,Charlaine Harris,w
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,m
A Canticle for Leibowitz,Walter M. Miller Jr.,m
The Jungle Books,Rudyard Kipling,m
Collected Fictions,Jorge Luis Borges,m
Rubinrot,Kerstin Gier,w
One Day,David Nicholls,m
The Story of My Life,Helen Keller,w
Digital Fortress,Dan Brown,m
Something Wicked This Way Comes,Ray Bradbury,m
Linger,Maggie Stiefvater,w
Geek Love,Katherine Dunn,w
Cryptonomicon,Neal Stephenson,m
The Portrait of a Lady,Henry James,m
Because of Winn-Dixie,Kate DiCamillo,w
My Name Is Asher Lev,Chaim Potok,m
How to Win Friends and Influence People,Dale Carnegie,m
Song of Solomon,Toni Morrison,m
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,m
Red Rising,Pierce Brown,m
The Namesake,Jhumpa Lahiri,m
Empire of Storms,Sarah J. Maas,w
To All the Boys I've Loved Before,Jenny Han,w
The Death Cure,James Dashner,m
Howards End,E.M. Forster,m
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss (Reader),m
Holy Bible: King James Version,Anonymous,m
Ficciones,Jorge Luis Borges,m
It's Kind of a Funny Story,Ned Vizzini,m
Fire,Kristin Cashore,w
Death on the Nile,Agatha Christie,w
The Color of Magic,Terry Pratchett,m
The Hero of Ages,Brandon Sanderson,m
Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth,Steve Snyder,m
Still Alice,Lisa Genova,w
The Moon Is a Harsh Mistress,Robert A. Heinlein,m
Choke,Chuck Palahniuk,m
Battle Royale,Koushun Takami,m
Dandelion Wine,Ray Bradbury,m
Mary Poppins,P.L. Travers,m
Gift from the Sea,Anne Morrow Lindbergh,w
Revolutionary Road,Richard Yates,m
An Abundance of Katherines,John Green,m
The Invention of Hugo Cabret,Brian Selznick,m
Small Gods,Terry Pratchett,m
